epoch,year,population,food,bushes,water,avg_generation,max_generation,avg_memory,avg_speed,avg_vision,avg_age,avg_hunger,avg_thirst,oldest_age,oldest_bush_age,births,deaths,food_eaten,seeds_found,seeds_planted,seeds_held
1,0.05,31,15,15,3,15.00,30,0.034,83.47,127.99,0.03,60.04,98.13,0.05,0.05,30,0,0,0,0,0
2,0.10,59,15,15,3,29.00,58,0.026,99.86,106.43,0.05,58.09,96.00,0.10,0.10,28,0,0,0,0,0
3,0.15,59,15,15,3,29.00,58,0.014,99.86,106.43,0.10,55.51,91.94,0.15,0.15,0,0,0,0,0,0
4,0.20,59,15,15,3,29.00,58,0.018,99.86,106.43,0.15,53.01,88.28,0.20,0.20,0,0,0,0,0,0
5,0.25,59,18,15,3,29.00,58,0.052,99.86,106.43,0.20,50.43,85.28,0.25,0.25,0,0,0,0,0,0
6,0.31,59,19,15,3,29.00,58,0.067,99.86,106.43,0.26,48.67,81.90,0.30,0.30,0,0,1,0,0,0
7,0.36,59,24,15,3,29.00,58,0.075,99.86,106.43,0.31,46.09,78.19,0.36,0.36,0,0,0,0,0,0
8,0.41,60,27,15,3,29.50,59,0.084,100.25,105.94,0.35,44.58,75.37,0.41,0.41,1,0,1,1,0,1
9,0.46,62,28,15,3,30.50,61,0.087,101.02,105.50,0.39,42.52,72.53,0.46,0.46,2,0,0,0,0,1
10,0.51,62,30,16,3,30.50,61,0.078,101.02,105.50,0.45,39.94,68.82,0.51,0.51,0,0,0,0,1,0
11,0.56,63,32,16,3,31.00,62,0.070,101.32,105.38,0.49,37.67,66.19,0.56,0.56,1,0,0,0,0,0
12,0.62,63,33,16,3,31.00,62,0.073,101.32,105.38,0.54,36.16,62.46,0.61,0.61,0,0,2,2,0,2
13,0.67,63,37,16,3,31.00,62,0.073,101.32,105.38,0.59,34.71,58.72,0.67,0.67,0,0,2,0,0,2
14,0.72,63,38,16,3,31.00,62,0.083,101.32,105.38,0.65,32.12,55.86,0.72,0.72,0,0,0,0,0,2
15,0.77,63,38,16,3,31.00,62,0.068,101.32,105.38,0.70,29.64,52.08,0.77,0.77,0,0,3,0,0,2
16,0.82,63,39,16,3,31.00,62,0.055,101.32,105.38,0.75,27.06,48.24,0.82,0.82,0,0,0,0,0,2
17,0.87,63,38,16,3,31.00,62,0.050,101.32,105.38,0.80,25.27,44.37,0.87,0.87,0,0,1,0,0,2
18,0.93,63,38,16,3,31.00,62,0.008,101.32,105.38,0.85,22.68,40.50,0.93,0.92,0,0,0,0,0,2
19,0.98,63,40,16,3,31.00,62,-0.169,101.32,105.38,0.90,20.10,36.63,0.98,0.98,0,0,0,0,0,2
20,1.03,63,41,16,3,31.00,62,-0.331,101.32,105.38,0.96,17.52,32.76,1.03,1.03,0,0,0,0,0,2
21,1.08,63,43,16,3,31.00,62,-0.382,101.32,105.38,1.01,14.93,28.87,1.08,1.08,0,0,0,0,0,2
22,1.13,63,43,16,3,31.00,62,-0.529,101.32,105.38,1.06,12.35,24.93,1.13,1.13,0,0,0,0,0,2
23,1.18,63,44,16,3,31.00,62,-0.720,101.32,105.38,1.11,9.77,20.99,1.18,1.18,0,0,0,0,0,2
24,1.24,42,44,16,3,41.24,62,-0.826,112.72,90.76,1.13,11.21,9.23,1.22,1.23,0,21,0,0,0,2
25,1.29,14,44,16,3,51.79,62,-0.580,121.90,81.07,1.11,23.03,11.56,1.24,1.29,0,28,0,0,0,2
26,1.34,4,45,16,3,60.50,62,-0.210,122.81,89.96,0.90,24.81,27.70,0.96,1.34,0,10,0,0,0,0
27,1.39,4,45,16,3,60.50,62,-0.341,122.81,89.96,0.96,22.23,23.57,1.02,1.39,0,0,0,0,0,0
28,1.44,4,46,16,3,60.50,62,-0.386,122.81,89.96,1.01,19.65,19.43,1.07,1.44,0,0,0,0,0,0
29,1.49,4,46,16,3,60.50,62,-0.533,122.81,89.96,1.06,17.06,15.30,1.12,1.49,0,0,0,0,0,0
30,1.54,4,46,16,3,60.50,62,-0.706,122.81,89.96,1.11,14.48,11.17,1.17,1.54,0,0,0,0,0,0
31,1.60,3,47,16,3,61.00,62,-0.728,122.74,94.26,1.14,16.22,8.62,1.18,1.59,0,1,0,0,0,0
32,1.65,1,48,16,3,62.00,62,-0.442,120.10,98.27,1.13,43.42,9.47,1.13,1.65,0,2,0,0,0,0
33,1.70,1,48,16,3,62.00,62,-0.488,120.10,98.27,1.18,40.83,5.33,1.18,1.70,0,0,0,0,0,0
34,1.75,1,48,16,3,62.00,62,-0.498,120.10,98.27,1.24,38.25,1.20,1.24,1.75,0,0,0,0,0,0
35,1.80,0,48,16,3,0.00,0,0.000,0.00,0.00,0.00,0.00,0.00,0.00,1.80,0,1,0,0,0,0
36,1.85,0,48,16,3,0.00,0,0.000,0.00,0.00,0.00,0.00,0.00,0.00,1.85,0,0,0,0,0,0
37,1.91,0,48,16,3,0.00,0,0.000,0.00,0.00,0.00,0.00,0.00,0.00,1.90,0,0,0,0,0,0
38,1.96,0,48,16,3,0.00,0,0.000,0.00,0.00,0.00,0.00,0.00,0.00,1.96,0,0,0,0,0,0
39,2.01,0,3,1,3,0.00,0,0.000,0.00,0.00,0.00,0.00,0.00,0.00,1.53,0,0,0,0,0,0
40,2.06,0,3,1,3,0.00,0,0.000,0.00,0.00,0.00,0.00,0.00,0.00,1.58,0,0,0,0,0,0
41,2.11,0,3,1,3,0.00,0,0.000,0.00,0.00,0.00,0.00,0.00,0.00,1.63,0,0,0,0,0,0
42,2.16,0,3,1,3,0.00,0,0.000,0.00,0.00,0.00,0.00,0.00,0.00,1.68,0,0,0,0,0,0
