epoch,year,population,food,bushes,water,avg_generation,max_generation,avg_memory,avg_speed,avg_vision,avg_age,avg_hunger,avg_thirst,oldest_age,oldest_bush_age,births,deaths,food_eaten,seeds_found,seeds_planted,seeds_held
1,0.05,46,15,15,3,9.93,29,0.176,75.78,162.57,0.03,67.07,97.99,0.05,0.05,36,0,0,0,0,0
2,0.10,71,15,15,3,20.49,53,0.108,75.91,168.81,0.06,62.54,96.02,0.10,0.10,25,0,0,0,0,0
3,0.15,106,13,15,3,33.35,83,0.070,79.41,164.47,0.09,60.32,94.18,0.15,0.15,35,0,2,0,0,0
4,0.21,137,12,15,3,48.20,114,0.051,79.25,160.46,0.11,58.00,92.28,0.20,0.20,31,0,1,0,0,0
5,0.26,169,14,15,3,63.79,146,0.038,72.76,148.73,0.14,55.97,90.27,0.26,0.25,32,0,0,0,0,0
6,0.31,201,16,15,3,79.50,178,0.029,66.65,140.11,0.17,54.38,88.06,0.31,0.30,32,0,1,0,0,0
7,0.37,225,18,15,3,90.48,201,0.015,64.43,134.91,0.20,52.65,85.43,0.36,0.35,24,0,1,0,0,0
