epoch,population,food,bushes,avg_speed,avg_vision,avg_reproduction,max_generation,oldest_age,births,deaths,food_eaten
1,20,8,15,100.00,150.00,200.00,0,1.00,0,0,7
2,20,4,15,100.00,150.00,200.00,0,2.00,0,0,4
3,22,6,15,99.48,150.53,201.31,1,3.00,2,0,5
4,22,6,15,99.48,150.53,201.31,1,4.00,0,0,6
5,23,3,15,99.67,149.91,200.63,1,5.00,1,0,6
6,23,7,15,99.67,149.91,200.63,1,6.00,0,0,3
7,23,4,15,99.67,149.91,200.63,1,7.00,0,0,7
8,24,4,15,99.73,150.43,201.02,1,8.00,1,0,5
9,25,4,15,100.00,150.20,201.35,1,9.00,1,0,7
10,23,4,15,100.18,150.38,201.46,1,10.00,1,3,4
11,23,4,15,100.18,150.38,201.46,1,11.00,0,0,4
12,24,8,15,100.55,150.80,200.80,1,12.00,1,0,2
13,23,6,15,100.65,150.31,200.35,1,13.02,0,1,7
14,26,4,15,101.21,149.99,200.46,2,14.02,3,0,7
15,23,1,15,101.60,150.47,201.96,2,15.02,1,4,6
16,23,5,15,101.60,150.47,201.96,2,16.18,0,0,2
17,24,6,15,101.17,150.91,202.36,2,17.25,1,0,4
18,26,5,15,101.80,150.74,203.52,2,18.32,2,0,8
19,26,7,15,101.62,150.83,203.88,2,19.38,1,1,4
20,25,3,15,101.69,150.86,204.03,2,20.45,0,1,8
21,26,4,15,102.26,151.17,203.61,2,21.52,1,0,2
22,26,7,15,102.26,151.17,203.61,2,22.58,0,0,5
23,26,4,15,101.53,149.69,204.38,2,23.65,1,1,8
24,26,2,15,101.19,150.59,204.34,2,24.72,1,1,7
25,25,1,15,101.01,150.88,204.42,2,25.78,1,2,5
26,25,3,15,101.01,150.88,204.42,2,26.85,0,0,3
27,25,3,15,101.01,150.88,204.42,2,27.92,0,0,5
28,23,6,15,100.86,151.82,204.16,2,28.98,0,2,5
29,24,1,15,101.63,152.95,203.30,3,30.05,2,1,8
30,24,4,15,101.63,152.95,203.30,3,31.12,0,0,5
31,25,5,15,102.30,153.63,202.48,4,32.18,1,0,4
32,23,7,15,102.55,154.49,202.14,4,33.25,0,2,4
33,24,4,15,102.14,153.81,201.66,4,34.32,1,0,6
34,25,5,15,102.14,154.30,201.93,4,35.38,1,0,8
35,26,0,15,102.30,153.62,201.53,4,36.45,1,0,7
36,27,3,15,102.56,153.89,201.92,4,37.52,1,0,5
37,27,3,15,102.60,153.62,201.35,4,38.58,1,1,6
38,25,2,15,102.94,153.87,201.46,4,39.65,0,2,5
39,25,3,15,102.94,153.87,201.46,4,40.72,0,0,3
40,25,4,15,102.94,153.87,201.46,4,41.78,0,0,6
41,24,3,15,103.02,153.51,201.11,4,42.85,0,1,4
42,24,5,15,103.02,153.51,201.11,4,43.92,0,0,5
