epoch,year,population,food,bushes,water,avg_speed,avg_vision,avg_reproduction,avg_hunger,avg_thirst,max_generation,oldest_age,oldest_bush_age,births,deaths,food_eaten,seeds_found,seeds_planted,seeds_held
1,0.05,20,15,15,3,20.00,100.00,400.00,97.50,96.00,0,0.05,0.05,0,0,0,0,0,0
2,0.10,20,15,15,3,20.00,100.00,400.00,94.92,91.87,0,0.10,0.10,0,0,0,0,0,0
3,0.15,20,15,15,3,20.00,100.00,400.00,92.42,88.47,0,0.15,0.15,0,0,0,0,0,0
4,0.20,20,14,15,3,20.00,100.00,400.00,90.39,84.67,0,0.20,0.20,0,0,1,1,0,1
5,0.25,20,19,16,3,20.00,100.00,400.00,88.48,81.71,0,0.25,0.25,0,0,1,1,1,1
6,0.30,20,21,17,3,20.00,100.00,400.00,86.29,79.12,0,0.30,0.30,0,0,2,1,1,1
7,0.35,20,25,18,3,20.00,100.00,400.00,83.81,75.40,0,0.35,0.35,0,0,1,0,1,0
8,0.41,20,27,18,3,20.00,100.00,400.00,81.46,71.68,0,0.40,0.40,0,0,1,0,0,0
9,0.46,20,24,18,3,20.00,100.00,400.00,81.32,67.95,0,0.46,0.46,0,0,4,2,0,2
10,0.51,20,26,18,3,20.00,100.00,400.00,80.43,64.03,0,0.51,0.51,0,0,3,0,0,2
11,0.56,20,27,18,3,20.00,100.00,400.00,79.72,61.50,0,0.56,0.56,0,0,3,2,0,4
12,0.61,20,32,19,3,20.00,100.00,400.00,77.14,57.44,0,0.61,0.61,0,0,0,0,1,3
13,0.66,20,32,19,3,20.00,100.00,400.00,76.68,53.31,0,0.66,0.66,0,0,2,2,0,5
14,0.72,20,30,19,3,20.00,100.00,400.00,74.79,49.79,0,0.71,0.71,0,0,3,1,0,6
15,0.77,20,33,20,3,20.00,100.00,400.00,73.10,45.65,0,0.77,0.77,0,0,2,1,1,6
16,0.82,20,32,21,3,20.00,100.00,400.00,71.59,41.94,0,0.82,0.82,0,0,4,2,1,7
17,0.87,20,27,21,3,20.00,100.00,400.00,71.02,37.81,0,0.87,0.87,0,0,6,4,0,11
18,0.92,20,30,24,3,20.00,100.00,400.00,68.80,33.95,0,0.92,0.92,0,0,2,2,3,10
19,0.97,20,31,24,3,20.00,100.00,400.00,66.62,30.01,0,0.97,0.97,0,0,2,0,0,10
20,1.03,20,30,24,3,20.00,100.00,400.00,67.63,26.17,0,1.03,1.02,0,0,4,2,0,12
21,1.08,20,30,26,3,20.00,100.00,400.00,68.83,24.21,0,1.08,1.08,0,0,6,3,2,13
22,1.13,20,28,27,3,20.00,100.00,400.00,66.87,22.68,0,1.13,1.13,0,0,5,3,1,15
23,1.18,20,28,28,3,20.00,100.00,400.00,65.36,18.93,0,1.18,1.18,0,0,3,2,1,16
24,1.23,20,30,29,3,20.00,100.00,400.00,63.15,14.79,0,1.23,1.23,0,0,1,0,1,15
25,1.28,3,33,30,3,20.00,100.00,400.00,94.22,91.07,0,1.28,1.28,0,17,2,1,1,5
26,1.34,3,35,30,3,20.00,100.00,400.00,97.86,86.93,0,1.34,1.33,0,0,3,2,0,7
27,1.39,3,36,30,3,20.00,100.00,400.00,95.78,90.53,0,1.39,1.39,0,0,1,1,0,8
28,1.44,3,39,30,3,20.00,100.00,400.00,98.47,86.40,0,1.44,1.44,0,0,3,1,0,9
29,1.49,3,41,30,3,20.00,100.00,400.00,96.83,87.73,0,1.49,1.49,0,0,1,0,0,9
30,1.54,3,43,30,3,20.00,100.00,400.00,96.33,86.13,0,1.54,1.54,0,0,1,0,0,9
31,1.59,3,48,30,3,20.00,100.00,400.00,93.75,84.93,0,1.59,1.59,0,0,0,0,0,9
32,1.65,3,50,30,3,20.00,100.00,400.00,96.11,96.00,0,1.65,1.64,0,0,2,1,0,10
33,1.70,3,55,32,3,20.00,100.00,400.00,96.67,97.11,0,1.70,1.70,0,0,1,0,2,8
34,1.75,3,58,32,3,20.00,100.00,400.00,96.33,98.22,0,1.75,1.75,0,0,3,1,0,9
35,1.80,3,59,32,3,20.00,100.00,400.00,94.17,94.09,0,1.80,1.80,0,0,1,0,0,9
36,1.85,3,56,32,3,20.00,100.00,400.00,96.03,89.96,0,1.85,1.85,0,0,4,0,0,9
37,1.90,3,58,33,3,20.00,100.00,400.00,94.56,85.82,0,1.90,1.90,0,0,2,0,1,8
38,1.96,3,67,33,3,20.00,100.00,400.00,94.28,81.69,0,1.96,1.95,0,0,2,0,0,8
39,2.01,3,71,34,3,20.00,100.00,400.00,92.86,83.29,0,2.01,2.01,0,0,1,1,1,8
40,2.06,3,72,34,3,20.00,100.00,400.00,99.19,79.16,0,2.06,2.06,0,0,4,3,0,11
41,2.11,3,71,34,3,20.00,100.00,400.00,96.92,79.02,0,2.11,2.11,0,0,1,1,0,12
