epoch,year,population,food,bushes,water,avg_generation,max_generation,avg_memory,avg_speed,avg_vision,avg_age,avg_hunger,avg_thirst,oldest_age,oldest_bush_age,births,deaths,food_eaten,seeds_found,seeds_planted,seeds_held
1,0.05,150,24,25,3,0.00,0,0.038,80.00,150.00,0.05,97.35,96.06,0.05,0.04,0,0,1,1,0,1
2,0.11,150,21,25,3,0.00,0,0.045,80.00,150.00,0.11,94.77,92.21,0.11,0.09,0,0,3,2,0,3
3,0.16,150,18,25,3,0.00,0,0.036,80.00,150.00,0.16,92.25,88.30,0.16,0.15,0,0,3,2,0,5
4,0.21,150,15,25,3,0.00,0,0.040,80.00,150.00,0.21,89.76,84.47,0.21,0.20,0,0,3,2,0,7
5,0.27,150,22,25,3,0.00,0,0.038,80.00,150.00,0.27,87.16,81.04,0.27,0.25,0,0,1,1,0,8
6,0.32,150,27,25,3,0.00,0,0.046,80.00,150.00,0.32,84.50,77.44,0.32,0.31,0,0,0,0,0,8
7,0.37,150,33,26,3,0.00,0,0.036,80.00,150.00,0.37,81.94,73.80,0.37,0.36,0,0,1,1,1,8
8,0.43,150,34,26,3,0.00,0,0.026,80.00,150.00,0.43,79.77,69.73,0.43,0.41,0,0,5,3,0,11
9,0.48,150,31,26,3,0.00,0,0.030,80.00,150.00,0.48,77.55,66.19,0.48,0.47,0,0,4,2,0,13
10,0.53,150,30,26,3,0.00,0,0.042,80.00,150.00,0.53,75.24,62.75,0.53,0.52,0,0,4,2,0,15
11,0.59,150,32,26,3,0.00,0,0.040,80.00,150.00,0.59,72.93,59.01,0.59,0.57,0,0,2,1,0,16
12,0.64,150,37,26,3,0.00,0,0.042,80.00,150.00,0.64,70.47,55.02,0.64,0.63,0,0,1,0,0,16
13,0.69,150,40,26,3,0.00,0,0.037,80.00,150.00,0.69,68.35,51.81,0.69,0.68,0,0,4,2,0,18
14,0.75,150,39,26,3,0.00,0,0.033,80.00,150.00,0.75,66.42,47.92,0.75,0.73,0,0,6,3,0,21
15,0.80,150,36,27,3,0.00,0,0.044,80.00,150.00,0.80,64.76,44.76,0.80,0.79,0,0,6,3,1,23
16,0.85,150,28,27,3,0.00,0,0.049,80.00,150.00,0.85,63.28,41.80,0.85,0.84,0,0,11,7,0,30
17,0.91,150,30,27,3,0.00,0,0.063,80.00,150.00,0.91,60.69,38.44,0.91,0.89,0,0,1,1,0,31
18,0.96,150,27,27,3,0.00,0,0.057,80.00,150.00,0.96,58.76,34.55,0.96,0.95,0,0,5,1,0,32
19,1.01,150,33,27,3,0.00,0,0.051,80.00,150.00,1.01,56.09,31.59,1.01,1.00,0,0,0,0,0,32
20,1.07,150,38,27,3,0.00,0,-0.002,80.00,150.00,1.07,53.50,28.51,1.07,1.05,0,0,1,1,0,33
21,1.12,150,36,27,3,0.00,0,-0.269,80.00,150.00,1.12,51.65,24.81,1.12,1.11,0,0,4,2,0,35
22,1.18,150,36,27,3,0.00,0,-0.326,80.00,150.00,1.17,50.09,21.01,1.17,1.16,0,0,8,4,0,39
23,1.23,150,35,27,3,0.00,0,-0.351,80.00,150.00,1.23,48.33,17.16,1.23,1.21,0,0,4,2,0,41
24,1.28,37,34,27,3,0.00,0,0.095,80.00,150.00,1.28,41.64,64.30,1.28,1.28,0,113,4,1,0,4
25,1.33,36,36,27,3,0.00,0,0.060,80.00,150.00,1.33,37.53,63.49,1.33,1.33,0,1,0,0,0,3
26,1.38,32,37,27,3,0.00,0,0.109,80.00,150.00,1.38,37.07,69.76,1.38,1.38,0,4,2,1,0,3
27,1.43,32,45,27,3,0.00,0,0.096,80.00,150.00,1.43,34.48,68.40,1.43,1.43,0,0,0,0,0,3
28,1.49,30,47,27,3,0.00,0,0.109,80.00,150.00,1.49,30.52,71.67,1.49,1.48,0,2,1,1,0,2
29,1.54,28,50,27,3,0.00,0,0.200,80.00,150.00,1.54,28.24,81.31,1.54,1.54,0,2,1,0,0,2
30,1.59,27,54,27,3,0.00,0,0.232,80.00,150.00,1.59,25.84,81.86,1.59,1.59,0,1,0,0,0,2
31,1.64,27,58,27,3,0.00,0,0.131,80.00,150.00,1.64,23.26,78.56,1.64,1.64,0,0,0,0,0,2
32,1.69,27,61,27,3,0.00,0,0.130,80.00,150.00,1.69,20.67,77.51,1.69,1.69,0,0,0,0,0,2
33,1.74,27,62,27,3,0.00,0,-0.142,80.00,150.00,1.74,18.09,75.95,1.74,1.74,0,0,0,0,0,2
34,1.80,27,64,27,3,0.00,0,-0.298,80.00,150.00,1.80,15.51,73.28,1.80,1.79,0,0,0,0,0,2
35,1.85,27,69,27,3,0.00,0,-0.318,80.00,150.00,1.85,16.28,72.07,1.85,1.85,0,0,1,0,0,2
36,1.90,26,73,27,3,0.00,0,-0.299,80.00,150.00,1.90,14.03,73.43,1.90,1.90,0,1,0,0,0,2
37,1.95,24,73,27,3,0.00,0,-0.242,80.00,150.00,1.95,14.28,78.46,1.95,1.95,0,2,1,0,0,2
38,2.00,5,73,27,3,0.00,0,0.034,80.00,150.00,2.00,56.45,63.60,2.00,2.00,0,19,0,0,0,2
39,2.05,5,77,27,3,0.00,0,-0.072,80.00,150.00,2.05,53.87,59.49,2.05,2.05,0,0,0,0,0,2
40,2.11,5,77,27,3,0.00,0,0.016,80.00,150.00,2.11,51.28,66.56,2.11,2.10,0,0,0,0,0,2
41,2.16,4,78,27,3,0.00,0,0.069,80.00,150.00,2.16,60.98,64.03,2.16,2.16,0,1,0,0,0,2
42,2.21,4,80,27,3,0.00,0,-0.082,80.00,150.00,2.21,58.40,59.90,2.21,2.21,0,0,0,0,0,2
43,2.26,4,80,27,3,0.00,0,-0.116,80.00,150.00,2.26,55.81,55.77,2.26,2.26,0,0,0,0,0,2
44,2.31,4,77,27,3,0.00,0,-0.117,80.00,150.00,2.31,68.83,51.63,2.31,2.31,0,0,3,1,0,3
45,2.36,3,77,27,3,0.00,0,0.000,80.00,150.00,2.36,68.19,63.64,2.36,2.36,0,1,1,1,0,3
46,2.42,3,78,27,3,0.00,0,0.000,80.00,150.00,2.41,65.61,59.51,2.41,2.41,0,0,0,0,0,3
47,2.47,3,78,27,3,0.00,0,0.000,80.00,150.00,2.47,63.03,55.38,2.47,2.47,0,0,0,0,0,3
48,2.52,3,73,27,3,0.00,0,0.018,80.00,150.00,2.52,70.42,51.24,2.52,2.52,0,0,2,0,0,3
49,2.57,3,73,27,3,0.00,0,0.008,80.00,150.00,2.57,72.06,47.11,2.57,2.57,0,0,1,0,0,3
50,2.62,3,73,27,3,0.00,0,0.002,80.00,150.00,2.62,69.47,42.98,2.62,2.62,0,0,0,0,0,3
51,2.67,3,76,27,3,0.00,0,-0.061,80.00,150.00,2.67,66.89,38.84,2.67,2.67,0,0,0,0,0,3
52,2.73,3,75,27,3,0.00,0,-0.228,80.00,150.00,2.72,67.17,34.71,2.72,2.72,0,0,1,1,0,4
53,2.78,3,75,27,3,0.00,0,-0.312,80.00,150.00,2.78,64.58,30.58,2.78,2.78,0,0,0,0,0,4
54,2.83,3,75,27,3,0.00,0,-0.324,80.00,150.00,2.83,64.14,26.44,2.83,2.83,0,0,1,1,0,5
55,2.88,2,78,27,3,0.00,0,-0.249,80.00,150.00,2.88,43.71,34.80,2.88,2.88,0,1,0,0,0,2
56,2.93,2,78,27,3,0.00,0,-0.045,80.00,150.00,2.93,41.13,67.80,2.93,2.93,0,0,0,0,0,2
57,2.98,2,78,27,3,0.00,0,-0.062,80.00,150.00,2.98,38.54,65.00,2.98,2.98,0,0,0,0,0,2
58,3.04,1,79,27,3,0.00,0,0.077,80.00,150.00,3.03,73.67,94.40,3.03,3.03,0,1,0,0,0,2
59,3.09,1,78,27,3,0.00,0,0.016,80.00,150.00,3.09,71.08,90.27,3.09,3.09,0,0,0,0,0,2
60,3.14,1,78,27,3,0.00,0,0.003,80.00,150.00,3.14,68.50,86.13,3.14,3.14,0,0,0,0,0,2
