epoch,year,population,food,bushes,water,avg_speed,avg_vision,avg_reproduction,avg_hunger,avg_thirst,max_generation,oldest_age,oldest_bush_age,births,deaths,food_eaten,seeds_found,seeds_planted,seeds_held
1,0.05,537,6,15,3,34.47,105.61,80.75,60.52,97.84,30,0.05,0.05,517,0,10,5,0,5
2,0.10,878,4,15,3,37.06,106.29,77.61,58.30,95.38,61,0.10,0.10,341,0,2,1,0,6
3,0.16,1221,1,15,3,43.05,110.44,74.96,56.44,92.93,94,0.16,0.15,343,0,3,0,0,6
4,0.22,1492,0,15,3,46.05,115.82,73.56,54.32,89.85,131,0.22,0.21,271,0,1,0,0,6
5,0.27,1716,0,18,3,50.45,117.94,72.97,53.50,87.39,163,0.27,0.26,224,0,36,17,3,20
