epoch,year,population,food,bushes,water,avg_generation,max_generation,avg_memory,avg_speed,avg_vision,avg_age,avg_hunger,avg_thirst,oldest_age,oldest_bush_age,births,deaths,food_eaten,seeds_found,seeds_planted,seeds_held
1,0.05,15,15,15,3,2.60,8,0.000,79.62,149.90,0.04,71.54,97.13,0.05,0.05,10,0,0,0,0,0
2,0.10,23,15,15,3,4.09,11,0.001,78.51,147.23,0.06,65.48,94.85,0.10,0.10,8,0,0,0,0,0
3,0.15,23,15,15,3,4.09,11,-0.000,78.51,147.23,0.12,62.89,90.72,0.15,0.15,0,0,0,0,0,0
4,0.20,25,15,15,3,4.76,13,-0.000,78.15,147.04,0.16,60.15,87.44,0.20,0.20,2,0,0,0,0,0
5,0.26,28,21,15,3,4.86,14,0.011,78.04,146.68,0.19,57.80,85.05,0.25,0.25,3,0,0,0,0,0
6,0.31,32,23,15,3,6.31,18,0.007,77.32,147.63,0.21,55.72,83.16,0.31,0.31,4,0,0,0,0,0
7,0.36,32,23,15,3,6.31,18,-0.000,77.32,147.63,0.26,53.14,79.02,0.36,0.36,0,0,0,0,0,0
8,0.41,36,26,15,3,6.47,19,0.002,77.29,148.32,0.28,52.79,77.44,0.41,0.41,4,0,2,0,0,0
9,0.46,37,28,15,3,6.84,20,0.000,77.27,148.93,0.33,50.43,73.97,0.46,0.46,1,0,0,0,0,0
10,0.51,37,26,15,3,6.84,20,0.000,77.27,148.93,0.38,47.98,69.83,0.51,0.51,0,0,2,0,0,0
11,0.56,37,28,15,3,6.84,20,0.000,77.27,148.93,0.43,46.83,65.83,0.56,0.56,0,0,1,1,0,1
12,0.62,37,30,15,3,6.84,20,0.000,77.27,148.93,0.48,45.60,61.70,0.61,0.61,0,0,1,0,0,1
13,0.67,38,38,15,3,7.21,21,0.000,77.24,149.25,0.52,43.43,58.62,0.67,0.67,1,0,0,0,0,1
14,0.72,38,39,15,3,7.21,21,0.000,77.24,149.25,0.57,40.84,54.49,0.72,0.72,0,0,0,0,0,1
15,0.77,38,39,15,3,7.21,21,-0.000,77.24,149.25,0.62,38.26,50.36,0.77,0.77,0,0,0,0,0,1
16,0.82,39,39,15,3,7.59,22,0.006,77.29,149.48,0.65,36.30,47.60,0.82,0.82,1,0,0,0,0,1
17,0.87,39,39,15,3,7.59,22,-0.000,77.29,149.48,0.71,34.23,43.47,0.87,0.87,0,0,1,1,0,2
18,0.93,39,40,15,3,7.59,22,-0.124,77.29,149.48,0.76,31.64,39.33,0.93,0.92,0,0,0,0,0,2
19,0.98,39,40,15,3,7.59,22,-0.192,77.29,149.48,0.81,29.06,35.20,0.98,0.98,0,0,0,0,0,2
20,1.03,40,40,15,3,7.97,23,-0.238,77.45,149.44,0.84,27.26,32.71,1.03,1.03,1,0,0,0,0,2
21,1.08,40,40,15,3,7.97,23,-0.340,77.45,149.44,0.89,24.68,28.57,1.08,1.08,0,0,0,0,0,2
22,1.13,40,40,15,3,7.97,23,-0.487,77.45,149.44,0.94,22.10,24.44,1.13,1.13,0,0,0,0,0,2
23,1.18,40,41,15,3,7.97,23,-0.575,77.45,149.44,1.00,19.51,20.31,1.18,1.18,0,0,0,0,0,2
24,1.24,28,41,15,3,10.00,23,-0.478,76.56,149.25,0.98,24.56,21.99,1.24,1.23,0,12,0,0,0,2
25,1.29,20,41,15,3,13.10,24,-0.373,76.29,150.47,0.88,28.09,29.51,1.20,1.29,1,9,1,0,0,1
26,1.34,19,41,15,3,13.47,24,-0.470,76.32,151.29,0.92,26.98,26.72,1.25,1.34,0,1,0,0,0,1
27,1.39,16,41,15,3,14.00,24,-0.500,76.66,153.71,0.92,26.91,26.77,1.14,1.39,0,3,0,0,0,1
28,1.44,16,42,15,3,14.00,24,-0.558,76.66,153.71,0.97,24.33,22.64,1.20,1.44,0,0,0,0,0,1
29,1.49,15,42,15,3,14.67,25,-0.517,77.33,155.74,0.92,27.42,26.23,1.25,1.49,1,2,0,0,0,1
30,1.55,10,42,15,3,16.60,25,-0.497,78.49,157.70,0.83,26.59,33.75,1.17,1.54,0,5,0,0,0,0
31,1.60,7,42,15,3,20.00,25,-0.286,78.87,159.24,0.73,34.74,41.30,1.19,1.60,0,3,0,0,0,0
32,1.65,6,43,15,3,20.00,25,-0.167,79.26,157.29,0.71,37.64,42.89,1.25,1.65,0,1,0,0,0,0
33,1.70,5,43,15,3,23.00,25,-0.100,79.99,158.11,0.66,35.03,47.25,1.06,1.70,0,1,0,0,0,0
34,1.75,6,43,15,3,23.50,26,-0.250,78.87,159.50,0.60,36.89,52.36,1.11,1.75,1,0,0,0,0,0
35,1.80,6,43,15,3,23.50,26,-0.250,78.87,159.50,0.65,34.31,48.22,1.17,1.80,0,0,0,0,0,0
36,1.86,5,43,15,3,24.00,26,-0.100,79.41,159.23,0.60,38.23,52.37,1.04,1.85,0,1,0,0,0,0
37,1.91,5,43,15,3,24.00,26,-0.300,79.41,159.23,0.65,35.65,48.24,1.09,1.91,0,0,0,0,0,0
38,1.96,5,44,15,3,24.00,26,-0.300,79.41,159.23,0.70,33.07,44.11,1.14,1.96,0,0,0,0,0,0
39,2.01,6,0,0,3,24.50,27,-0.250,77.44,159.01,0.63,35.18,49.62,1.19,0.00,1,0,0,0,0,0
40,2.06,5,0,0,3,25.00,27,-0.200,77.14,159.10,0.57,39.53,54.45,1.08,0.00,0,1,0,0,0,0
41,2.11,5,0,0,3,25.00,27,-0.200,77.14,159.10,0.62,36.95,50.32,1.13,0.00,0,0,0,0,0,0
42,2.17,5,0,0,3,25.00,27,-0.200,77.14,159.10,0.67,34.37,46.19,1.18,0.00,0,0,0,0,0,0
43,2.22,4,0,0,3,25.50,27,-0.125,75.46,161.95,0.60,40.10,52.17,0.95,0.00,0,1,0,0,0,0
44,2.27,4,0,0,3,25.50,27,-0.125,75.46,161.95,0.65,37.52,48.03,1.00,0.00,0,0,0,0,0,0
