epoch,year,population,food,bushes,water,avg_speed,avg_vision,avg_reproduction,avg_hunger,avg_thirst,max_generation,oldest_age,oldest_bush_age,births,deaths,food_eaten,seeds_found,seeds_planted,seeds_held
1,0.05,20,15,15,3,80.00,150.00,100.00,97.50,96.05,0,0.05,0.05,0,0,0,0,0,0
2,0.10,20,13,15,3,80.00,150.00,100.00,95.36,92.07,0,0.10,0.10,0,0,2,0,0,0
3,0.15,20,9,16,3,80.00,150.00,100.00,94.00,87.94,0,0.15,0.15,0,0,5,3,1,2
4,0.21,20,6,16,3,80.00,150.00,100.00,92.31,84.53,0,0.20,0.20,0,0,3,2,0,4
5,0.26,20,10,17,3,80.00,150.00,100.00,90.23,84.03,0,0.26,0.25,0,0,5,4,1,7
6,0.31,20,9,18,3,80.00,150.00,100.00,88.68,83.65,0,0.31,0.31,0,0,4,1,1,7
7,0.36,20,8,18,3,80.00,150.00,100.00,87.43,82.70,0,0.36,0.36,0,0,3,1,0,8
8,0.41,20,11,19,3,80.00,150.00,100.00,86.48,84.35,0,0.41,0.41,0,0,3,1,1,8
9,0.46,20,12,19,3,80.00,150.00,100.00,84.72,85.47,0,0.46,0.46,0,0,2,2,0,10
10,0.51,20,9,20,3,80.00,150.00,100.00,84.44,84.99,0,0.51,0.51,0,0,4,3,1,12
11,0.56,20,8,21,3,80.00,150.00,100.00,88.15,82.36,0,0.56,0.56,0,0,7,2,1,13
12,0.61,20,10,21,3,80.00,150.00,100.00,85.75,82.74,0,0.61,0.61,0,0,2,0,0,13
13,0.66,20,10,22,3,80.00,150.00,100.00,87.79,83.29,0,0.66,0.66,0,0,5,3,1,15
14,0.71,20,5,22,3,80.00,150.00,100.00,90.51,82.31,0,0.71,0.71,0,0,8,5,0,20
15,0.77,20,6,22,3,80.00,150.00,100.00,87.93,86.22,0,0.76,0.76,0,0,0,0,0,20
16,0.82,20,10,23,3,80.00,150.00,100.00,88.69,87.39,0,0.82,0.82,0,0,4,3,1,22
17,0.87,20,12,23,3,80.00,150.00,100.00,86.49,88.47,0,0.87,0.87,0,0,1,0,0,22
18,0.92,20,16,23,3,80.00,150.00,100.00,87.51,89.69,0,0.92,0.92,0,0,3,1,0,23
19,0.97,20,15,24,3,80.00,150.00,100.00,88.26,88.42,0,0.97,0.97,0,0,5,4,1,26
20,1.02,20,14,25,3,80.00,150.00,100.00,87.83,86.35,0,1.02,1.02,0,0,5,3,1,28
21,1.07,20,16,27,3,80.00,150.00,100.00,88.14,84.31,0,1.07,1.07,0,0,5,2,2,28
22,1.13,20,14,29,3,80.00,150.00,100.00,88.24,84.03,0,1.13,1.12,0,0,6,0,2,26
23,1.18,20,14,30,3,80.00,150.00,100.00,87.08,87.45,0,1.18,1.18,0,0,7,4,1,29
24,1.23,20,14,30,3,80.00,150.00,100.00,87.40,88.20,0,1.23,1.23,0,0,5,1,0,30
25,1.28,20,18,33,3,80.00,150.00,100.00,88.09,88.03,0,1.28,1.28,0,0,5,3,3,30
26,1.33,20,13,35,3,80.00,150.00,100.00,93.55,90.49,0,1.33,1.33,0,0,11,8,2,36
27,1.39,20,19,37,3,80.00,150.00,100.00,92.06,91.09,0,1.39,1.38,0,0,2,1,2,35
28,1.44,20,20,39,3,80.00,150.00,100.00,92.51,92.35,0,1.44,1.44,0,0,7,5,2,38
29,1.49,20,16,41,3,80.00,150.00,100.00,93.95,92.05,0,1.49,1.49,0,0,11,8,2,44
30,1.54,20,23,42,3,80.00,150.00,100.00,91.90,89.64,0,1.54,1.54,0,0,3,2,1,45
31,1.59,20,23,43,3,80.00,150.00,100.00,91.36,94.25,0,1.59,1.59,0,0,4,1,1,45
32,1.64,20,20,44,3,80.00,150.00,100.00,94.41,92.54,0,1.64,1.64,0,0,10,6,1,50
33,1.69,20,19,44,3,80.00,150.00,100.00,94.10,91.15,0,1.69,1.69,0,0,4,1,0,51
34,1.74,20,29,47,3,80.00,150.00,100.00,93.23,91.97,0,1.74,1.74,0,0,7,4,3,52
35,1.80,20,25,49,3,80.00,150.00,100.00,93.53,92.73,0,1.80,1.79,0,0,12,3,2,53
36,1.85,20,24,51,3,80.00,150.00,100.00,95.01,91.29,0,1.85,1.85,0,0,10,6,2,57
37,1.90,20,26,53,3,80.00,150.00,100.00,94.27,95.29,0,1.90,1.90,0,0,7,4,2,59
38,1.95,20,30,57,3,80.00,150.00,100.00,93.94,96.13,0,1.95,1.95,0,0,6,2,4,57
39,2.00,20,31,61,3,80.00,150.00,100.00,94.32,94.95,0,2.00,2.00,0,0,11,6,4,59
40,2.05,20,11,47,3,80.00,150.00,100.00,93.12,95.89,0,2.05,1.91,0,0,5,4,1,62
41,2.10,20,12,49,3,80.00,150.00,100.00,94.40,94.82,0,2.10,1.96,0,0,10,5,2,65
42,2.16,20,11,50,3,80.00,150.00,100.00,95.61,97.33,0,2.16,1.90,0,0,7,4,2,67
43,2.21,20,10,51,3,80.00,150.00,100.00,94.76,97.53,0,2.21,1.95,0,0,9,4,1,70
44,2.26,20,10,51,3,80.00,150.00,100.00,94.66,95.89,0,2.26,1.88,0,0,9,3,2,71
45,2.31,20,8,51,3,80.00,150.00,100.00,95.80,95.59,0,2.31,1.93,0,0,9,2,0,73
46,2.36,20,16,51,3,80.00,150.00,100.00,94.84,95.51,0,2.36,1.98,0,0,6,4,0,77
47,2.44,20,14,52,3,80.00,150.00,100.00,93.23,95.59,0,2.45,1.91,0,0,13,4,2,79
