epoch,year,population,food,bushes,water,avg_speed,avg_vision,avg_reproduction,avg_hunger,avg_thirst,max_generation,oldest_age,oldest_bush_age,births,deaths,food_eaten,seeds_found,seeds_planted,seeds_held
1,0.05,20,15,15,3,20.00,100.00,200.00,97.50,96.00,0,0.05,0.05,0,0,0,0,0,0
2,0.10,20,14,15,3,20.00,100.00,200.00,95.22,92.40,0,0.10,0.10,0,0,1,1,0,1
3,0.15,20,13,15,3,20.00,100.00,200.00,92.98,88.60,0,0.15,0.15,0,0,1,0,0,1
4,0.20,20,12,15,3,20.00,100.00,200.00,90.62,84.67,0,0.20,0.20,0,0,1,0,0,1
5,0.25,20,14,15,3,20.00,100.00,200.00,88.72,80.87,0,0.25,0.25,0,0,1,0,0,1
6,0.30,20,15,15,3,20.00,100.00,200.00,87.92,76.95,0,0.30,0.30,0,0,4,4,0,5
7,0.36,20,14,16,3,20.00,100.00,200.00,86.29,73.02,0,0.35,0.35,0,0,4,3,1,7
8,0.41,20,19,16,3,20.00,100.00,200.00,83.71,69.09,0,0.41,0.41,0,0,0,0,0,7
9,0.46,20,13,16,3,20.00,100.00,200.00,83.20,65.17,0,0.46,0.46,0,0,6,4,0,11
10,0.51,20,12,17,3,20.00,100.00,200.00,80.74,61.24,0,0.51,0.51,0,0,2,0,1,10
11,0.56,20,13,18,3,20.00,100.00,200.00,78.83,59.67,0,0.56,0.56,0,0,2,0,1,9
12,0.61,20,19,18,3,20.00,100.00,200.00,76.77,55.87,0,0.61,0.61,0,0,2,2,0,11
13,0.66,20,20,18,3,20.00,100.00,200.00,74.84,51.95,0,0.66,0.66,0,0,3,1,0,12
14,0.72,20,20,20,3,20.00,100.00,200.00,72.40,48.02,0,0.71,0.71,0,0,1,1,2,11
15,0.77,20,17,21,3,20.00,100.00,200.00,72.32,44.65,0,0.77,0.77,0,0,7,3,1,13
16,0.82,20,18,21,3,20.00,100.00,200.00,69.86,40.72,0,0.82,0.82,0,0,1,0,0,13
17,0.87,20,19,22,3,20.00,100.00,200.00,70.32,36.79,0,0.87,0.87,0,0,3,3,1,15
18,0.92,20,18,23,3,20.00,100.00,200.00,68.74,32.87,0,0.92,0.92,0,0,3,0,1,14
19,0.97,20,20,23,3,20.00,100.00,200.00,66.58,29.91,0,0.97,0.97,0,0,3,0,0,14
20,1.03,20,21,24,3,20.00,100.00,200.00,64.78,26.17,0,1.03,1.02,0,0,4,1,1,14
21,1.08,20,20,24,3,20.00,100.00,200.00,63.73,22.40,0,1.08,1.08,0,0,5,1,0,15
22,1.13,20,21,26,3,20.00,100.00,200.00,62.40,18.47,0,1.13,1.13,0,0,5,1,2,14
23,1.18,20,20,26,3,20.00,100.00,200.00,60.44,14.55,0,1.18,1.18,0,0,3,2,0,16
24,1.23,20,20,26,3,20.00,100.00,200.00,58.55,11.36,0,1.23,1.23,0,0,2,1,0,17
25,1.28,2,22,27,3,20.00,100.00,200.00,67.04,99.07,0,1.28,1.28,0,18,2,1,1,3
26,1.33,2,25,27,3,20.00,100.00,200.00,64.54,98.60,0,1.33,1.33,0,0,0,0,0,3
27,1.38,2,29,27,3,20.00,100.00,200.00,64.83,96.53,0,1.38,1.38,0,0,1,1,0,4
28,1.43,2,35,27,3,20.00,100.00,200.00,62.33,99.53,0,1.43,1.43,0,0,0,0,0,4
29,1.49,2,35,27,3,20.00,100.00,200.00,62.29,97.47,0,1.49,1.48,0,0,1,0,0,4
30,1.54,2,37,27,3,20.00,100.00,200.00,59.71,98.13,0,1.54,1.54,0,0,0,0,0,4
31,1.59,2,42,27,3,20.00,100.00,200.00,57.13,99.80,0,1.59,1.59,0,0,0,0,0,4
32,1.64,2,45,27,3,20.00,100.00,200.00,54.54,97.73,0,1.64,1.64,0,0,0,0,0,4
33,1.69,2,51,27,3,20.00,100.00,200.00,51.96,95.67,0,1.69,1.69,0,0,0,0,0,4
34,1.74,2,52,27,3,20.00,100.00,200.00,55.54,93.67,0,1.74,1.74,0,0,1,1,0,5
35,1.79,2,54,27,3,20.00,100.00,200.00,52.96,91.60,0,1.79,1.79,0,0,0,0,0,5
