epoch,population,food,bushes,avg_speed,avg_vision,avg_reproduction,max_generation,oldest_age,births,deaths,food_eaten
1,20,9,15,100.00,150.00,200.00,0,1.00,0,0,6
2,22,1,15,99.88,151.05,198.78,1,2.00,2,0,8
3,22,4,15,99.88,151.05,198.78,1,3.00,0,0,1
4,23,9,15,100.29,151.74,198.96,1,4.00,1,0,3
5,24,4,15,100.49,152.12,199.30,1,5.00,1,0,8
6,24,6,15,100.49,152.12,199.30,1,6.00,0,0,1
7,25,8,15,100.48,152.64,198.71,1,7.00,1,0,8
8,26,7,15,100.55,152.18,198.99,1,8.00,1,0,3
9,26,4,15,100.55,152.18,198.99,1,9.00,0,0,6
10,21,6,15,100.68,152.69,198.75,1,10.00,0,5,5
11,22,5,15,101.10,152.48,199.67,2,11.00,1,0,5
12,23,6,15,101.01,151.75,198.91,2,12.00,1,0,3
13,23,8,15,101.01,151.75,198.91,2,13.00,0,0,5
14,24,6,15,101.23,152.27,199.04,2,14.00,1,0,7
15,20,6,15,101.23,152.18,198.50,2,15.00,0,4,4
16,21,6,15,101.95,153.38,199.56,2,16.00,1,0,5
17,21,7,15,101.95,153.38,199.56,2,17.00,0,0,4
18,21,7,15,101.95,153.38,199.56,2,18.02,0,0,5
19,21,9,15,101.95,153.38,199.56,2,19.02,0,0,3
20,23,9,15,101.72,154.16,199.43,2,20.07,3,1,5
21,23,9,15,101.72,154.16,199.43,2,21.13,0,0,4
22,23,12,15,101.72,154.16,199.43,2,22.20,0,0,2
23,23,14,15,101.30,153.98,197.97,2,23.27,1,1,2
24,22,11,15,101.72,154.95,197.68,2,24.33,1,2,9
25,23,10,15,101.51,154.44,199.72,3,25.40,2,1,5
26,23,14,15,101.51,154.44,199.72,3,26.47,0,0,3
27,23,10,15,101.51,154.44,199.72,3,27.53,0,0,7
28,23,12,15,102.09,154.17,200.29,3,28.60,1,1,2
29,21,14,15,102.29,154.86,200.50,3,29.67,0,2,3
30,20,14,15,102.40,155.11,200.53,3,30.73,0,1,5
31,20,9,15,102.20,154.80,199.38,3,31.80,1,1,8
32,20,11,15,102.20,154.80,199.38,3,32.87,0,0,3
33,21,10,15,102.34,153.14,201.65,4,33.93,1,0,5
34,20,10,15,102.50,152.49,199.64,4,35.00,1,2,5
35,20,11,15,102.50,152.49,199.64,4,36.07,0,0,2
36,20,12,15,102.50,152.49,199.64,4,37.13,0,0,6
37,20,14,15,102.50,152.49,199.64,4,38.20,0,0,1
38,20,16,15,102.50,152.49,199.64,4,39.27,0,0,3
39,18,15,15,102.44,151.63,200.93,4,40.33,0,2,6
40,19,14,15,102.16,151.90,201.26,4,41.40,1,0,4
41,21,12,15,102.82,152.47,200.53,4,42.47,2,0,8
42,21,8,15,102.31,154.54,196.90,3,43.53,1,1,6
43,23,5,15,102.04,155.57,197.54,4,44.60,2,0,10
44,24,5,15,101.48,156.51,196.58,4,45.67,1,0,5
45,23,7,15,101.76,157.69,198.20,4,46.73,0,1,4
46,25,5,15,101.44,157.47,196.94,4,47.80,2,0,6
47,25,6,15,101.44,157.47,196.94,4,48.87,0,0,4
48,23,6,15,101.88,158.40,198.20,4,49.93,0,2,7
49,24,5,15,101.26,159.44,196.82,4,51.00,1,0,4
50,24,8,15,101.26,159.44,196.82,4,52.07,0,0,4
51,22,9,15,100.67,161.01,195.66,4,53.13,0,2,6
52,24,5,15,100.44,161.03,194.94,5,54.20,2,0,8
53,24,4,15,100.05,160.88,195.98,5,55.27,1,1,7
54,25,3,15,100.13,160.90,195.88,5,56.33,1,0,4
55,26,4,15,100.90,162.14,197.13,5,57.40,1,0,6
56,26,5,15,100.90,162.14,197.13,5,58.47,0,0,4
57,25,10,15,101.17,162.09,198.18,5,59.53,0,1,3
58,24,7,15,101.31,161.96,198.53,5,60.60,0,1,6
59,22,9,15,102.05,160.63,200.30,5,61.67,0,2,5
60,22,5,15,102.41,162.69,199.25,5,62.73,1,1,8
61,23,7,15,101.97,161.14,197.07,5,63.80,1,0,3
62,24,7,15,103.49,163.02,196.89,5,64.87,2,1,7
63,25,7,15,103.13,163.12,195.28,5,65.93,2,1,4
64,25,7,15,102.86,163.14,195.07,5,67.00,1,1,6
65,25,7,15,102.86,163.14,195.07,5,68.07,0,0,3
66,25,6,15,102.86,163.14,195.07,5,69.13,0,0,7
67,25,6,15,102.86,163.14,195.07,5,70.20,0,0,4
68,25,6,15,104.09,163.52,196.43,5,71.27,1,1,4
69,24,7,15,104.30,163.17,195.54,5,72.33,0,1,3
70,25,6,15,105.16,164.47,197.32,5,73.40,1,0,7
71,24,5,15,105.40,164.61,198.53,5,74.47,1,2,6
72,24,6,15,105.40,164.61,198.53,5,75.53,0,0,5
73,23,5,15,105.20,165.32,197.64,5,76.60,0,1,5
74,23,7,15,105.20,165.32,197.64,5,77.67,0,0,5
75,24,5,15,106.10,165.88,199.35,5,78.73,2,1,8
76,24,1,15,106.10,165.88,199.35,5,79.80,0,0,6
77,24,5,15,106.10,165.88,199.35,5,80.87,0,0,3
78,23,6,15,106.90,167.19,200.05,5,81.93,1,2,6
79,22,5,15,107.25,168.47,201.00,5,83.00,0,1,4
80,22,4,15,107.25,168.47,201.00,5,84.07,0,0,6
81,24,6,15,107.63,168.18,202.18,5,85.13,2,0,7
82,26,2,15,107.51,168.06,202.25,6,86.20,2,0,7
83,26,3,15,107.51,168.06,202.25,6,87.32,0,0,4
84,26,6,15,107.51,168.06,202.25,6,88.33,0,0,3
85,27,3,15,107.62,167.50,202.86,6,89.40,1,0,10
86,26,4,15,108.46,168.26,203.70,6,90.47,1,2,2
87,27,6,15,108.38,168.64,204.03,6,91.53,1,0,6
88,27,6,15,108.38,168.64,204.03,6,92.60,0,0,5
89,25,3,15,109.15,169.04,205.97,6,93.67,0,2,7
90,23,3,15,109.93,171.12,205.82,6,94.73,1,3,4
91,23,3,15,109.93,171.12,205.82,6,95.80,0,0,7
92,25,2,15,109.06,171.55,205.44,6,96.87,2,0,6
93,23,3,15,110.05,172.05,206.56,6,97.93,0,2,2
94,23,7,15,110.05,172.05,206.56,6,99.00,0,0,4
95,23,7,15,110.50,173.78,206.08,6,100.07,1,1,6
96,22,4,15,109.96,173.73,207.07,6,101.13,1,2,5
97,23,7,15,110.04,174.72,207.30,6,102.20,1,0,6
98,24,6,15,109.72,175.49,208.50,6,103.27,1,0,7
99,25,4,15,109.87,175.28,209.31,6,104.33,1,0,4
100,25,7,15,110.53,176.10,209.92,6,105.40,1,1,7
101,23,8,15,111.60,176.57,211.29,6,106.47,0,2,3
102,23,8,15,112.29,177.55,212.88,6,107.53,1,1,5
103,23,6,15,112.38,178.53,212.42,6,108.60,1,1,7
104,23,8,15,111.93,176.62,211.57,6,109.67,1,1,4
105,23,10,15,111.31,176.02,210.60,6,110.73,1,1,3
106,23,8,15,111.97,177.50,210.66,5,111.80,1,1,6
107,23,9,15,113.19,178.75,212.89,6,109.47,2,2,8
108,24,5,15,113.19,178.26,211.07,6,110.53,1,0,5
109,24,6,15,113.19,178.26,211.07,6,111.60,0,0,6
110,23,5,15,113.80,177.96,209.78,6,112.67,1,2,4
111,23,4,15,113.80,177.96,209.78,6,113.73,0,0,5
112,23,8,15,113.80,177.96,209.78,6,114.80,0,0,3
113,22,5,15,113.75,176.88,210.04,6,115.87,0,1,5
114,22,5,15,114.87,177.47,213.34,6,116.93,1,1,6
115,22,1,15,114.87,177.47,213.34,6,118.00,0,0,8
116,21,3,15,115.03,177.40,213.34,6,119.07,0,1,6
117,22,2,15,115.21,177.17,212.65,6,120.25,1,0,4
118,22,5,15,115.21,177.17,212.65,6,121.32,0,0,3
119,25,2,15,115.39,177.79,213.66,6,122.38,3,0,9
120,26,2,15,115.07,178.02,213.71,6,123.45,1,0,3
121,27,4,15,115.55,179.06,214.89,6,124.52,1,0,6
122,25,2,15,115.85,180.59,216.55,6,125.58,0,2,6
123,24,0,15,115.20,180.64,214.98,6,126.65,0,1,4
124,24,3,15,115.20,180.64,214.98,6,127.72,0,0,4
125,24,3,15,115.20,180.64,214.98,6,128.78,0,0,5
126,24,2,15,115.20,180.64,214.98,6,129.85,0,0,5
127,24,4,15,115.20,180.64,214.98,6,130.92,0,0,5
128,24,2,15,115.34,180.88,215.77,6,131.98,1,1,6
129,24,4,15,115.71,180.58,214.96,6,79.62,1,1,2
130,25,5,15,116.23,180.55,215.49,6,80.68,1,0,7
131,24,4,15,116.19,181.24,214.53,6,81.75,0,1,6
132,25,4,15,116.22,180.01,215.26,7,82.82,1,0,7
133,25,5,15,116.22,180.01,215.26,7,83.88,0,0,4
134,24,3,15,116.58,178.74,213.87,7,84.95,1,2,9
135,24,3,15,116.58,178.74,213.87,7,86.02,0,0,6
136,25,1,15,116.83,179.01,212.81,7,87.08,1,0,5
137,24,3,15,117.24,178.64,212.19,7,88.15,0,1,3
138,24,5,15,117.24,178.64,212.19,7,89.22,0,0,3
139,25,3,15,117.39,177.82,212.29,7,90.28,1,0,7
140,25,5,15,117.39,177.82,212.29,7,91.35,0,0,4
141,24,2,15,118.23,177.77,210.74,7,92.42,1,2,9
142,23,3,15,118.38,178.67,211.68,7,93.48,0,1,4
143,24,4,15,119.01,179.60,213.17,7,94.55,1,0,4
144,24,3,15,119.01,179.60,213.17,7,95.62,0,0,8
145,24,3,15,119.01,179.60,213.17,7,96.68,0,0,2
146,24,7,15,119.01,179.60,213.17,7,97.75,0,0,5
147,25,3,15,119.16,180.05,212.14,7,98.82,1,0,6
148,25,3,15,119.16,180.05,212.14,7,99.88,0,0,6
149,24,5,15,119.08,180.96,212.03,7,100.95,0,1,1
150,25,2,15,119.55,180.64,212.48,7,102.02,1,0,9
151,25,4,15,119.55,180.64,212.48,7,103.08,0,0,4
152,24,7,15,119.41,180.35,211.13,7,104.15,0,1,5
153,22,2,15,120.78,183.59,216.15,7,105.22,1,3,8
154,22,3,15,120.78,183.59,216.15,7,106.28,0,0,4
155,21,3,15,120.48,182.29,220.32,8,107.35,1,2,4
156,21,4,15,120.48,182.29,220.32,8,108.43,0,0,5
157,21,5,15,120.48,182.29,220.32,8,109.50,0,0,3
158,22,2,15,119.89,181.45,220.33,8,110.57,1,0,9
159,22,4,15,119.89,181.45,220.33,8,111.63,0,0,5
160,21,3,15,119.36,181.86,220.19,8,112.70,0,1,4
161,21,3,15,119.36,181.86,220.19,8,113.77,0,0,4
162,22,3,15,119.62,182.25,217.75,8,114.83,1,0,6
163,22,3,15,119.62,182.25,217.75,8,115.90,0,0,5
164,22,5,15,119.62,182.25,217.75,8,116.97,0,0,2
165,22,6,15,119.62,182.25,217.75,8,118.03,0,0,6
166,21,6,15,120.30,182.64,219.26,8,119.10,0,1,4
167,21,5,15,119.87,181.37,220.46,9,120.17,1,1,7
