epoch,year,population,food,bushes,water,avg_generation,max_generation,avg_memory,avg_speed,avg_vision,avg_age,avg_hunger,avg_thirst,oldest_age,oldest_bush_age,births,deaths,food_eaten,seeds_found,seeds_planted,seeds_held
1,0.05,1,15,15,3,0.00,0,0.000,80.00,150.00,0.05,97.50,97.47,0.05,0.05,0,0,0,0,0,0
2,0.10,1,15,15,3,0.00,0,0.000,80.00,150.00,0.10,95.00,93.47,0.10,0.10,0,0,0,0,0,0
3,0.15,1,15,15,3,0.00,0,0.000,80.00,150.00,0.15,92.42,89.33,0.15,0.15,0,0,0,0,0,0
4,0.20,1,15,15,3,0.00,0,0.000,80.00,150.00,0.20,89.83,85.20,0.20,0.20,0,0,0,0,0,0
5,0.26,1,21,15,3,0.00,0,0.000,80.00,150.00,0.25,87.25,81.07,0.25,0.25,0,0,0,0,0,0
6,0.31,1,23,15,3,0.00,0,0.000,80.00,150.00,0.30,84.75,77.07,0.30,0.30,0,0,0,0,0,0
7,0.36,1,27,15,3,0.00,0,0.000,80.00,150.00,0.36,82.17,72.93,0.36,0.36,0,0,0,0,0,0
8,0.41,1,30,15,3,0.00,0,0.000,80.00,150.00,0.41,79.58,68.80,0.41,0.41,0,0,0,0,0,0
9,0.46,1,31,15,3,0.00,0,0.000,80.00,150.00,0.46,77.00,64.67,0.46,0.46,0,0,0,0,0,0
10,0.51,1,34,15,3,0.00,0,0.000,80.00,150.00,0.51,74.42,60.53,0.51,0.51,0,0,0,0,0,0
11,0.56,1,36,15,3,0.00,0,0.000,80.00,150.00,0.56,71.92,56.53,0.56,0.56,0,0,0,0,0,0
12,0.61,1,39,15,3,0.00,0,0.800,80.00,150.00,0.61,69.33,100.00,0.61,0.61,0,0,0,0,0,0
13,0.67,1,41,15,3,0.00,0,0.800,80.00,150.00,0.66,66.75,100.00,0.66,0.66,0,0,0,0,0,0
14,0.72,1,43,15,3,0.00,0,0.800,80.00,150.00,0.71,64.25,100.00,0.71,0.71,0,0,0,0,0,0
15,0.77,1,45,15,3,0.00,0,0.800,80.00,150.00,0.77,61.67,100.00,0.77,0.77,0,0,0,0,0,0
16,0.82,1,45,15,3,0.00,0,0.050,80.00,150.00,0.82,59.08,99.47,0.82,0.82,0,0,0,0,0,0
17,0.87,1,45,15,3,0.00,0,0.000,80.00,150.00,0.87,56.50,95.33,0.87,0.87,0,0,0,0,0,0
18,0.92,1,45,15,3,0.00,0,0.000,80.00,150.00,0.92,53.92,91.20,0.92,0.92,0,0,0,0,0,0
19,0.97,1,45,15,3,0.00,0,0.000,80.00,150.00,0.97,51.33,87.07,0.97,0.97,0,0,0,0,0,0
20,1.03,1,45,15,3,0.00,0,0.000,80.00,150.00,1.03,48.75,82.93,1.03,1.02,0,0,0,0,0,0
21,1.08,1,45,15,3,0.00,0,0.000,80.00,150.00,1.08,46.17,78.80,1.08,1.08,0,0,0,0,0,0
22,1.13,1,45,15,3,0.00,0,0.000,80.00,150.00,1.13,43.58,74.67,1.13,1.13,0,0,0,0,0,0
23,1.18,1,45,15,3,0.00,0,0.000,80.00,150.00,1.18,41.00,70.53,1.18,1.18,0,0,0,0,0,0
24,1.23,1,45,15,3,0.00,0,0.000,80.00,150.00,1.23,38.42,66.40,1.23,1.23,0,0,0,0,0,0
25,1.28,1,45,15,3,0.00,0,0.000,80.00,150.00,1.28,35.83,62.27,1.28,1.28,0,0,0,0,0,0
26,1.34,1,45,15,3,0.00,0,0.000,80.00,150.00,1.34,33.25,58.13,1.34,1.33,0,0,0,0,0,0
27,1.39,1,45,15,3,0.00,0,0.000,80.00,150.00,1.39,30.67,54.00,1.39,1.39,0,0,0,0,0,0
28,1.44,1,45,15,3,0.00,0,0.000,80.00,150.00,1.44,28.08,49.87,1.44,1.44,0,0,0,0,0,0
29,1.49,1,45,15,3,0.00,0,0.000,80.00,150.00,1.49,25.50,45.73,1.49,1.49,0,0,0,0,0,0
