epoch,year,population,food,bushes,water,avg_generation,max_generation,avg_memory,avg_speed,avg_vision,avg_age,avg_hunger,avg_thirst,oldest_age,oldest_bush_age,births,deaths,food_eaten,seeds_found,seeds_planted,seeds_held
1,0.05,150,23,25,3,0.00,0,0.023,80.00,150.00,0.05,97.36,95.96,0.05,0.04,0,0,2,0,0,0
2,0.11,150,22,25,3,0.00,0,0.034,80.00,150.00,0.11,94.71,92.09,0.11,0.09,0,0,1,1,0,1
3,0.16,150,20,25,3,0.00,0,0.044,80.00,150.00,0.16,92.14,88.26,0.16,0.15,0,0,2,1,0,2
4,0.21,150,15,25,3,0.00,0,0.043,80.00,150.00,0.21,89.70,84.64,0.21,0.20,0,0,5,3,0,5
5,0.27,150,16,25,3,0.00,0,0.047,80.00,150.00,0.27,87.34,80.74,0.27,0.25,0,0,6,2,0,7
6,0.32,150,18,25,3,0.00,0,0.039,80.00,150.00,0.32,84.96,76.96,0.32,0.31,0,0,3,1,0,8
7,0.37,150,21,25,3,0.00,0,0.047,80.00,150.00,0.37,82.44,73.18,0.37,0.36,0,0,3,2,0,10
8,0.43,150,25,25,3,0.00,0,0.044,80.00,150.00,0.43,80.17,69.50,0.43,0.41,0,0,3,3,0,13
9,0.48,150,23,25,3,0.00,0,0.040,80.00,150.00,0.48,77.66,65.47,0.48,0.47,0,0,2,2,0,15
10,0.53,150,23,26,3,0.00,0,0.043,80.00,150.00,0.53,75.40,61.81,0.53,0.52,0,0,4,3,1,17
11,0.59,150,30,27,3,0.00,0,0.053,80.00,150.00,0.59,72.95,58.47,0.59,0.57,0,0,2,1,1,17
12,0.64,150,32,27,3,0.00,0,0.050,80.00,150.00,0.64,70.44,55.30,0.64,0.63,0,0,1,1,0,18
13,0.69,150,32,27,3,0.00,0,0.052,80.00,150.00,0.69,68.33,52.27,0.69,0.68,0,0,3,2,0,20
14,0.75,150,35,28,3,0.00,0,0.057,80.00,150.00,0.75,65.89,48.87,0.75,0.73,0,0,2,2,1,21
15,0.80,150,36,29,3,0.00,0,0.061,80.00,150.00,0.80,63.48,45.82,0.80,0.79,0,0,1,1,1,21
16,0.85,150,40,29,3,0.00,0,0.057,80.00,150.00,0.85,61.31,43.03,0.85,0.84,0,0,3,2,0,23
17,0.91,150,38,29,3,0.00,0,0.044,80.00,150.00,0.91,59.24,39.52,0.91,0.89,0,0,4,1,0,24
18,0.96,150,40,29,3,0.00,0,0.054,80.00,150.00,0.96,57.39,36.73,0.96,0.95,0,0,4,2,0,26
19,1.01,150,34,30,3,0.00,0,0.056,80.00,150.00,1.01,56.13,33.76,1.01,1.00,0,0,11,3,1,28
20,1.07,150,38,30,3,0.00,0,0.006,80.00,150.00,1.07,54.20,30.53,1.07,1.05,0,0,3,0,0,28
21,1.12,150,37,31,3,0.00,0,-0.253,80.00,150.00,1.12,52.91,28.60,1.12,1.11,0,0,4,1,1,28
