epoch,population,food,bushes,avg_speed,avg_vision,avg_reproduction,max_generation,oldest_age,births,deaths,food_eaten
1,20,15,15,100.00,150.00,200.00,0,1.00,0,0,0
2,20,14,15,100.00,150.00,200.00,0,2.00,0,0,1
3,21,17,15,100.42,149.28,200.68,1,3.00,1,0,5
4,21,21,15,100.42,149.28,200.68,1,4.02,0,0,1
5,21,23,15,100.42,149.28,200.68,1,5.02,0,0,1
6,21,29,15,100.42,149.28,200.68,1,6.02,0,0,0
7,21,31,15,100.42,149.28,200.68,1,7.02,0,0,3
8,22,31,15,101.10,148.26,200.46,2,8.02,1,0,4
9,25,21,15,101.62,146.94,203.15,2,9.02,3,0,13
10,13,21,15,103.12,144.12,206.07,2,10.02,0,12,3
11,14,18,15,104.22,142.11,207.77,2,11.02,1,0,8
12,17,11,15,107.22,142.46,204.29,4,12.02,3,0,9
13,17,9,15,107.22,142.46,204.29,4,13.02,0,0,3
14,17,15,15,107.22,142.46,204.29,4,14.02,0,0,1
15,16,11,15,107.82,143.62,204.30,4,15.02,1,2,6
16,17,12,15,108.96,143.12,204.09,5,16.02,1,0,3
17,20,12,15,111.25,143.48,201.70,5,17.02,3,0,7
18,21,9,15,111.91,143.42,200.92,5,18.02,1,0,7
19,21,11,15,111.91,143.42,200.92,5,19.02,0,0,3
20,21,13,15,111.91,143.42,200.92,5,20.03,0,0,4
21,25,7,15,113.47,142.28,199.36,6,21.03,4,0,10
22,26,6,15,114.43,142.75,199.41,7,22.03,1,0,6
23,25,9,15,114.65,143.06,198.82,7,23.03,0,1,5
24,25,5,15,114.68,143.09,197.40,7,24.03,1,1,7
25,25,5,15,115.36,140.88,197.28,7,25.03,1,1,5
26,25,3,15,115.36,140.88,197.28,7,26.03,0,0,5
27,25,7,15,115.36,140.88,197.28,7,27.03,0,0,3
