epoch,population,food,bushes,avg_speed,avg_vision,avg_reproduction,max_generation,oldest_age,births,deaths,food_eaten
99,23,2,15,97.00,143.96,190.41,6,105.00,2,1,9
100,23,4,15,97.00,143.96,190.41,6,106.07,0,0,4
101,22,7,15,96.94,143.98,190.81,6,107.13,0,1,4
102,24,5,15,96.02,144.33,190.89,6,108.20,2,0,3
103,23,8,15,96.07,144.44,190.27,6,109.27,0,1,6
104,19,3,15,95.90,145.23,187.44,6,110.33,0,4,9
105,19,6,15,95.90,145.23,187.44,6,111.40,0,0,2
106,19,5,15,95.90,145.23,187.44,6,112.47,0,0,8
107,19,6,15,95.97,147.72,188.71,6,113.53,1,1,5
108,20,4,15,96.35,147.55,187.23,6,114.60,1,0,5
109,21,6,15,95.71,147.80,186.46,6,115.67,1,0,6
110,24,4,15,94.82,146.28,186.58,7,116.73,3,0,6
111,24,6,15,94.82,146.28,186.58,7,117.80,0,0,1
112,24,8,15,94.82,146.28,186.58,7,118.87,0,0,5
113,25,4,15,94.88,145.88,185.58,7,119.93,2,1,8
114,25,7,15,94.76,144.53,184.98,7,121.00,1,1,4
115,25,4,15,94.76,144.53,184.98,7,122.07,0,0,8
116,24,4,15,94.68,143.65,183.83,7,123.13,0,1,3
117,24,5,15,94.70,143.53,183.97,7,124.20,1,1,3
