epoch,population,food,bushes,avg_speed,avg_vision,avg_reproduction,max_generation,oldest_age,births,deaths,food_eaten
1,20,9,15,100.00,150.00,200.00,0,1.00,0,0,6
2,20,5,15,100.00,150.00,200.00,0,2.02,0,0,4
3,22,9,15,100.56,150.68,200.12,1,3.02,2,0,3
4,22,12,15,100.56,150.68,200.12,1,4.02,0,0,6
5,23,9,15,100.88,151.23,199.43,1,5.03,1,0,6
6,24,11,15,100.82,151.64,200.51,2,6.03,1,0,4
7,24,9,15,100.82,151.64,200.51,2,7.03,0,0,10
8,26,5,15,100.49,151.45,199.93,2,8.03,2,0,6
9,26,5,15,100.49,151.45,199.93,2,9.03,0,0,6
10,24,4,15,100.53,151.57,199.93,2,10.03,0,2,6
11,25,2,15,100.35,151.28,200.17,3,11.03,1,0,4
12,25,8,15,100.35,151.28,200.17,3,12.03,0,0,2
13,26,5,15,100.37,151.68,200.49,3,13.03,1,0,8
14,27,4,15,100.72,151.76,199.79,3,14.03,1,0,5
15,25,7,15,100.78,151.90,199.78,3,15.03,0,2,6
16,25,4,15,100.78,151.90,199.78,3,16.03,0,0,6
17,25,1,15,100.78,151.90,199.78,3,17.03,0,0,5
