epoch,population,food,bushes,avg_speed,avg_vision,avg_reproduction,max_generation,oldest_age,births,deaths,food_eaten
1,20,11,15,150.00,150.00,400.00,0,0.50,0,0,4
2,20,6,15,150.00,150.00,400.00,0,1.00,0,0,5
3,20,3,15,150.00,150.00,400.00,0,1.52,0,0,3
4,20,1,15,150.00,150.00,400.00,0,2.03,0,0,2
5,20,6,15,150.00,150.00,400.00,0,2.55,0,0,2
6,20,3,15,150.00,150.00,400.00,0,3.07,0,0,4
7,20,4,15,150.00,150.00,400.00,0,3.57,0,0,3
8,20,3,15,150.00,150.00,400.00,0,4.07,0,0,3
9,20,2,15,150.00,150.00,400.00,0,4.58,0,0,2
10,20,2,15,150.00,150.00,400.00,0,5.08,0,0,1
11,20,3,15,150.00,150.00,400.00,0,5.58,0,0,2
12,20,6,15,150.00,150.00,400.00,0,6.10,0,0,1
13,20,6,15,150.00,150.00,400.00,0,6.62,0,0,3
14,20,4,15,150.00,150.00,400.00,0,7.13,0,0,4
15,20,5,15,150.00,150.00,400.00,0,7.65,0,0,2
16,20,4,15,150.00,150.00,400.00,0,8.17,0,0,3
17,20,4,15,150.00,150.00,400.00,0,8.68,0,0,0
18,20,6,15,150.00,150.00,400.00,0,9.20,0,0,2
19,20,5,15,150.00,150.00,400.00,0,9.72,0,0,4
20,19,3,15,150.00,150.00,400.00,0,10.23,0,1,5
21,19,5,15,150.00,150.00,400.00,0,10.75,0,0,0
22,16,6,15,150.00,150.00,400.00,0,11.25,0,3,2
23,16,6,15,150.00,150.00,400.00,0,11.77,0,0,4
24,11,5,15,150.00,150.00,400.00,0,12.27,0,5,3
25,11,3,15,150.00,150.00,400.00,0,12.78,0,0,3
26,9,6,15,150.00,150.00,400.00,0,13.30,0,2,1
27,9,7,15,150.00,150.00,400.00,0,13.82,0,0,2
28,7,6,15,150.00,150.00,400.00,0,14.33,0,2,1
29,7,7,15,150.00,150.00,400.00,0,14.85,0,0,2
30,6,10,15,150.00,150.00,400.00,0,15.37,0,1,1
31,6,10,15,150.00,150.00,400.00,0,15.88,0,0,2
32,5,9,15,150.00,150.00,400.00,0,16.40,0,1,3
33,5,11,15,150.00,150.00,400.00,0,16.92,0,0,1
34,5,13,15,150.00,150.00,400.00,0,17.43,0,0,2
