epoch,year,population,food,bushes,water,avg_speed,avg_vision,avg_reproduction,avg_hunger,avg_thirst,max_generation,oldest_age,oldest_bush_age,births,deaths,food_eaten,seeds_found,seeds_planted,seeds_held
1,0.05,20,15,15,3,80.00,150.00,100.00,97.50,96.19,0,0.05,0.05,0,0,0,0,0,0
2,0.10,20,14,15,3,80.00,150.00,100.00,95.16,92.53,0,0.10,0.10,0,0,1,1,0,1
3,0.15,20,10,15,3,80.00,150.00,100.00,93.93,89.17,0,0.15,0.15,0,0,4,1,0,2
4,0.21,20,7,16,3,80.00,150.00,100.00,92.78,85.85,0,0.20,0.20,0,0,4,2,1,3
5,0.26,20,8,17,3,80.00,150.00,100.00,90.83,85.83,0,0.26,0.26,0,0,1,1,1,3
6,0.31,20,8,17,3,80.00,150.00,100.00,89.41,86.21,0,0.31,0.31,0,0,2,0,0,3
7,0.36,20,13,17,3,80.00,150.00,100.00,88.59,82.71,0,0.36,0.36,0,0,3,1,0,4
8,0.41,20,17,17,3,80.00,150.00,100.00,87.11,81.45,0,0.41,0.41,0,0,1,1,0,5
9,0.46,20,14,18,3,80.00,150.00,100.00,88.33,79.01,0,0.46,0.46,0,0,4,1,1,5
10,0.51,20,13,19,3,80.00,150.00,100.00,87.97,77.92,0,0.51,0.51,0,0,3,1,1,5
11,0.56,20,14,19,3,80.00,150.00,100.00,86.30,83.01,0,0.56,0.56,0,0,2,2,0,7
12,0.62,20,18,20,3,80.00,150.00,100.00,84.23,84.15,0,0.61,0.61,0,0,1,0,1,6
13,0.67,20,18,22,3,80.00,150.00,100.00,83.51,83.13,0,0.67,0.67,0,0,5,3,2,7
14,0.72,20,16,23,3,80.00,150.00,100.00,84.33,81.33,0,0.72,0.72,0,0,7,2,1,8
15,0.77,20,17,23,3,80.00,150.00,100.00,83.12,78.35,0,0.77,0.77,0,0,2,1,0,9
16,0.82,20,16,23,3,80.00,150.00,100.00,82.72,77.19,0,0.82,0.82,0,0,3,0,0,9
