epoch,population,food,bushes,avg_speed,avg_vision,avg_reproduction,max_generation,oldest_age,births,deaths,food_eaten
1,527,12,15,31.48,50.92,66.41,51,1.00,507,0,3
2,581,6,15,34.82,50.46,66.40,51,2.00,54,0,6
3,687,6,15,37.74,52.70,67.58,57,3.00,106,0,14
4,887,2,15,37.88,63.55,68.10,78,4.00,200,0,18
5,1085,0,15,39.62,74.08,67.49,111,5.00,198,0,5
6,794,0,15,46.80,89.71,70.01,131,5.98,198,489,14
7,775,0,15,45.60,91.65,70.85,137,6.98,26,45,1
8,748,1,15,44.60,94.16,71.03,137,7.88,72,99,18
9,866,0,15,51.18,88.94,69.76,137,8.88,294,176,9
10,756,0,15,52.08,77.87,70.68,184,9.88,82,192,1
11,582,1,15,54.34,80.66,69.83,184,10.88,44,218,6
12,708,1,15,54.70,87.99,68.88,184,11.88,159,33,14
13,682,2,15,55.43,92.40,68.35,184,12.88,58,84,3
14,552,3,15,51.78,95.55,69.73,203,13.88,158,288,10
15,831,2,15,56.01,107.44,67.05,235,14.88,366,87,15
16,1084,0,15,58.80,107.88,68.04,273,15.88,300,47,13
17,1278,0,15,58.90,110.06,68.19,273,16.90,348,154,25
18,1508,0,15,60.51,105.82,68.35,273,17.97,294,64,29
