epoch,population,food,bushes,avg_speed,avg_vision,avg_reproduction,max_generation,oldest_age,births,deaths,food_eaten
1,20,15,15,50.00,100.00,500.00,0,0.50,0,0,0
2,20,15,15,50.00,100.00,500.00,0,1.02,0,0,28
3,21,15,15,50.35,100.54,499.57,1,1.53,1,0,141
4,27,15,15,50.72,102.68,500.32,1,2.05,6,0,354
5,42,19,15,50.12,103.31,499.88,2,2.57,15,0,686
6,69,22,15,50.42,103.34,500.15,3,3.07,27,0,1233
7,118,28,15,50.72,103.89,500.45,3,3.57,49,0,2149
8,200,30,15,50.62,103.33,500.27,4,4.08,82,0,3988
9,368,30,15,51.15,104.22,500.16,5,4.60,168,0,6952
10,634,32,15,51.03,104.19,499.43,5,5.10,266,0,11584
11,2722,33,15,51.20,103.66,498.22,8,5.63,2088,0,23844
