epoch,year,population,food,bushes,water,avg_speed,avg_vision,avg_reproduction,avg_hunger,avg_thirst,max_generation,oldest_age,oldest_bush_age,births,deaths,food_eaten,seeds_found,seeds_planted,seeds_held
1,0.05,534,11,15,3,150.87,149.05,82.28,60.46,97.96,30,0.05,0.05,514,0,4,3,0,3
2,0.10,893,5,15,3,152.57,148.47,80.11,58.41,95.63,62,0.10,0.10,359,0,6,4,0,7
3,0.16,1178,1,15,3,152.45,153.33,77.25,56.69,93.66,93,0.15,0.15,285,0,4,0,0,7
4,0.21,1425,0,15,3,151.37,159.38,74.50,55.01,91.93,123,0.20,0.19,247,0,1,0,0,7
5,0.26,1675,0,15,3,150.17,164.12,73.37,53.35,90.25,155,0.26,0.25,250,0,2,0,0,7
6,0.31,1899,0,15,3,149.90,170.86,72.81,51.76,88.71,187,0.31,0.30,224,0,5,3,0,10
7,0.37,2102,0,15,3,151.56,173.65,72.77,50.24,87.36,219,0.36,0.35,203,0,10,8,0,18
8,0.42,2238,0,16,3,151.82,174.03,72.36,48.40,86.06,251,0.42,0.41,136,0,7,3,1,20
