epoch,population,food,bushes,avg_speed,avg_vision,avg_reproduction,max_generation,oldest_age,births,deaths,food_eaten
1,20,15,15,100.00,150.00,200.00,0,1.00,0,0,0
2,20,13,15,100.00,150.00,200.00,0,2.00,0,0,2
3,20,19,15,100.00,150.00,200.00,0,3.00,0,0,3
4,21,17,15,99.71,149.37,200.51,1,4.02,1,0,9
5,22,16,15,99.37,149.60,200.52,1,5.03,1,0,1
6,24,14,15,99.73,148.31,202.01,2,6.05,2,0,7
7,24,15,15,99.73,148.31,202.01,2,7.05,0,0,6
8,26,13,15,100.25,147.99,202.07,3,8.05,2,0,7
9,28,6,15,100.11,146.95,201.43,4,9.05,2,0,13
10,21,9,15,100.54,145.23,201.83,4,10.07,1,8,7
11,21,7,15,100.54,145.23,201.83,4,11.07,0,0,3
12,22,8,15,100.89,144.71,202.03,4,12.07,1,0,5
13,24,5,15,101.34,145.16,202.54,4,13.07,2,0,5
14,25,5,15,102.09,143.62,203.65,4,14.07,2,1,7
15,25,4,15,102.09,143.62,203.65,4,15.07,0,0,4
16,26,3,15,102.44,142.65,204.50,4,16.07,1,0,6
17,26,4,15,102.44,142.65,204.50,4,17.07,0,0,4
18,25,4,15,102.35,141.64,204.84,4,18.07,0,1,4
19,25,9,15,102.35,141.64,204.84,4,19.07,0,0,4
20,22,10,15,102.53,141.39,205.50,4,20.07,1,4,5
21,24,1,15,102.54,144.23,205.12,4,21.08,2,0,9
22,24,1,15,102.54,144.23,205.12,4,22.08,0,0,4
23,26,7,15,102.49,145.05,205.90,4,23.08,2,0,4
24,27,3,15,102.48,145.11,205.32,4,24.08,1,0,7
25,27,4,15,102.48,145.11,205.32,4,25.10,0,0,3
26,27,4,15,102.72,144.45,205.01,4,26.12,1,1,7
27,27,3,15,102.72,144.45,205.01,4,27.12,0,0,4
28,28,4,15,102.30,143.58,204.03,5,28.12,1,0,6
29,27,2,15,102.39,143.35,204.17,5,29.12,0,1,7
30,26,3,15,102.48,143.09,204.33,5,30.13,0,1,3
31,25,4,15,102.58,142.81,204.51,5,31.13,0,1,3
32,25,6,15,102.03,142.28,204.44,5,32.13,1,1,6
33,25,4,15,102.03,142.28,204.44,5,33.13,0,0,4
34,23,5,15,102.21,143.12,203.97,5,34.13,0,2,3
35,23,6,15,102.21,143.12,203.97,5,35.13,0,0,6
36,23,4,15,102.21,143.12,203.97,5,36.13,0,0,6
37,24,2,15,101.55,146.09,203.33,5,37.13,2,1,6
38,23,6,15,101.40,146.67,202.82,5,38.13,0,1,1
39,23,5,15,102.30,145.47,204.22,5,39.13,1,1,5
40,23,4,15,102.30,145.47,204.22,5,40.13,0,0,7
41,23,2,15,102.30,145.47,204.22,5,41.13,0,0,6
42,23,2,15,102.30,145.47,204.22,5,42.13,0,0,3
43,22,7,15,102.41,145.27,204.41,5,43.13,0,1,4
44,22,5,15,102.20,146.10,204.00,5,44.13,1,1,6
45,23,7,15,102.02,146.45,203.14,5,45.13,1,0,3
46,23,9,15,102.02,146.45,203.14,5,46.13,0,0,5
47,25,5,15,101.64,148.39,202.43,5,47.13,2,0,8
48,25,6,15,101.82,147.59,202.33,5,48.13,1,1,5
49,25,7,15,101.53,150.17,201.59,5,49.13,1,1,4
50,26,6,15,101.42,149.75,201.36,5,50.13,1,0,4
51,25,7,15,101.15,150.92,201.04,5,51.13,0,1,6
52,25,7,15,101.15,150.92,201.04,5,52.13,0,0,4
53,25,6,15,101.15,150.92,201.04,5,53.13,0,0,6
54,25,4,15,100.95,150.87,201.07,5,54.13,1,1,5
55,24,10,15,101.50,149.97,202.87,5,55.13,1,2,3
56,24,3,15,101.50,149.97,202.87,5,56.13,0,0,11
57,23,5,15,101.83,149.80,203.02,5,57.13,0,1,2
58,24,3,15,102.39,147.58,202.66,5,58.13,2,1,7
59,25,6,15,102.03,148.38,202.94,5,59.13,1,0,4
60,25,3,15,102.03,148.38,202.94,5,60.13,0,0,7
61,23,2,15,101.28,145.45,202.17,5,61.13,0,2,5
62,23,3,15,101.60,145.25,203.07,5,62.15,1,1,5
63,25,4,15,101.79,143.22,204.39,5,63.15,2,0,3
64,23,6,15,101.72,141.34,205.26,5,64.15,0,2,4
65,22,5,15,101.76,141.06,204.96,5,65.15,0,1,6
66,22,6,15,101.76,141.06,204.96,5,66.15,0,0,4
67,24,6,15,101.85,140.29,205.68,6,67.15,2,0,5
68,24,7,15,101.85,140.29,205.68,6,68.15,0,0,4
69,23,8,15,102.27,139.67,205.90,6,69.15,0,1,5
70,25,7,15,102.57,138.81,207.12,6,70.15,2,0,4
71,25,6,15,102.57,138.81,207.12,6,71.15,0,0,6
72,26,3,15,102.13,138.63,206.93,6,72.15,1,0,8
73,24,4,15,102.37,135.56,208.08,6,73.15,0,2,3
74,24,7,15,102.60,134.80,208.21,6,74.15,1,1,4
75,25,5,15,103.50,132.52,209.60,6,75.15,2,1,6
76,25,4,15,103.50,132.52,209.60,6,76.15,0,0,5
77,23,7,15,103.56,132.59,209.25,6,77.15,0,2,3
78,22,6,15,103.43,132.18,209.00,6,78.15,0,1,8
79,22,8,15,103.43,132.18,209.00,6,79.15,0,0,3
80,22,9,15,103.43,132.18,209.00,6,80.15,0,0,2
81,23,9,15,103.18,131.80,208.76,6,81.15,1,0,6
82,23,7,15,103.64,132.00,209.51,7,82.15,1,1,8
83,26,2,15,104.85,130.31,208.74,7,83.15,3,0,8
84,26,5,15,104.85,130.31,208.74,7,84.15,0,0,8
85,25,2,15,104.42,131.50,207.57,7,85.15,0,1,5
86,26,2,15,103.97,131.97,206.53,7,86.15,1,0,3
87,27,0,15,104.76,131.15,206.19,7,87.15,2,1,11
88,28,2,15,104.09,130.18,204.96,7,88.15,1,0,2
89,28,2,15,104.09,130.18,204.96,7,89.15,0,0,3
90,28,8,15,104.09,130.18,204.96,7,90.15,0,0,3
91,26,2,15,104.26,130.09,205.20,7,91.15,0,2,8
92,25,6,15,103.79,130.92,204.40,7,92.15,0,1,2
93,27,6,15,104.15,130.87,204.91,7,93.17,2,0,5
94,27,6,15,104.15,130.87,204.91,7,94.17,0,0,5
95,27,9,15,104.15,130.87,204.91,7,95.17,0,0,3
96,26,9,15,104.59,130.38,205.85,7,96.17,0,1,5
97,24,11,15,104.34,130.29,206.38,7,97.17,0,2,3
98,23,7,15,105.01,129.38,208.13,7,98.17,2,3,10
99,24,3,15,104.65,129.34,207.58,7,99.17,1,0,10
100,25,5,15,104.81,128.75,207.71,7,100.17,2,1,4
101,26,4,15,103.97,127.32,205.96,7,101.17,1,0,5
102,25,7,15,104.08,127.18,206.17,7,102.17,0,1,3
103,25,5,15,105.12,126.89,207.50,7,103.17,1,1,7
104,26,6,15,104.55,127.92,208.23,7,104.17,1,0,3
105,26,11,15,104.55,127.92,208.23,7,105.17,0,0,2
106,26,11,15,104.55,127.92,208.23,7,106.17,0,0,5
107,26,10,15,104.55,127.92,208.23,7,107.17,0,0,3
108,25,9,15,104.06,128.66,207.92,7,108.17,1,2,5
109,22,13,15,104.74,130.82,210.22,7,109.17,0,3,4
110,23,9,15,104.11,132.35,210.34,7,110.17,1,0,5
111,24,9,15,104.15,133.63,210.62,7,111.17,1,0,7
112,25,7,15,104.03,135.59,211.40,7,112.17,1,0,9
113,21,4,15,102.59,137.59,212.65,7,103.23,0,4,4
114,21,6,15,102.59,137.59,212.65,7,104.23,0,0,4
115,20,10,15,102.15,138.97,212.06,7,105.23,0,1,3
116,21,9,15,103.49,140.99,213.62,7,106.23,2,1,4
117,21,9,15,103.49,140.99,213.62,7,107.23,0,0,5
118,22,9,15,104.17,139.00,213.37,7,108.23,1,0,4
