epoch,year,population,food,bushes,water,avg_speed,avg_vision,avg_reproduction,avg_hunger,avg_thirst,max_generation,oldest_age,oldest_bush_age,births,deaths,food_eaten,seeds_found,seeds_planted,seeds_held
1,0.05,20,15,15,3,80.00,150.00,100.00,97.50,96.27,0,0.05,0.05,0,0,0,0,0,0
2,0.10,20,13,15,3,80.00,150.00,100.00,95.28,92.31,0,0.10,0.10,0,0,2,2,0,2
3,0.15,20,12,15,3,80.00,150.00,100.00,93.14,90.47,0,0.15,0.15,0,0,1,1,0,3
4,0.20,20,9,16,3,80.00,150.00,100.00,92.10,90.51,0,0.20,0.20,0,0,4,1,1,3
5,0.25,20,9,16,3,80.00,150.00,100.00,90.62,89.11,0,0.25,0.25,0,0,2,2,0,5
6,0.31,20,13,17,3,80.00,150.00,100.00,88.41,87.07,0,0.30,0.30,0,0,2,2,1,6
7,0.36,20,12,17,3,80.00,150.00,100.00,89.10,84.03,0,0.35,0.35,0,0,5,2,0,8
8,0.41,20,14,17,3,80.00,150.00,100.00,87.76,83.31,0,0.41,0.41,0,0,2,0,0,8
9,0.46,20,12,17,3,80.00,150.00,100.00,85.88,81.81,0,0.46,0.46,0,0,3,1,0,9
10,0.51,20,12,17,3,80.00,150.00,100.00,84.52,81.99,0,0.51,0.51,0,0,1,1,0,10
11,0.56,20,14,18,3,80.00,150.00,100.00,84.23,84.47,0,0.56,0.56,0,0,5,2,1,11
12,0.61,20,12,18,3,80.00,150.00,100.00,82.98,82.85,0,0.61,0.61,0,0,4,1,0,12
13,0.66,20,10,19,3,80.00,150.00,100.00,83.09,81.18,0,0.66,0.66,0,0,4,1,1,12
14,0.72,20,13,20,3,80.00,150.00,100.00,81.83,79.63,0,0.71,0.71,0,0,1,0,1,11
15,0.77,20,19,21,3,80.00,150.00,100.00,79.83,76.26,0,0.76,0.76,0,0,1,0,1,10
16,0.82,20,17,22,3,80.00,150.00,100.00,80.26,79.37,0,0.81,0.81,0,0,4,2,1,11
17,0.87,20,13,22,3,80.00,150.00,100.00,83.72,77.59,0,0.87,0.87,0,0,7,3,0,14
18,0.92,20,15,22,3,80.00,150.00,100.00,82.79,77.59,0,0.92,0.92,0,0,2,0,0,14
19,0.97,20,14,24,3,80.00,150.00,100.00,82.75,78.76,0,0.97,0.97,0,0,7,3,2,15
20,1.02,20,15,25,3,80.00,150.00,100.00,82.45,79.93,0,1.02,1.02,0,0,4,3,1,17
21,1.07,20,10,25,3,80.00,150.00,100.00,82.58,81.97,0,1.07,1.07,0,0,7,5,0,22
22,1.13,20,16,25,3,80.00,150.00,100.00,80.58,82.14,0,1.13,1.12,0,0,2,1,0,23
23,1.18,20,14,26,3,80.00,150.00,100.00,80.01,80.01,0,1.18,1.17,0,0,6,1,1,23
