epoch,year,population,food,bushes,water,avg_speed,avg_vision,avg_reproduction,avg_hunger,avg_thirst,max_generation,oldest_age,oldest_bush_age,births,deaths,food_eaten,seeds_found,seeds_planted,seeds_held
1,0.05,20,15,15,3,80.00,150.00,100.00,97.50,96.67,0,0.05,0.05,0,0,0,0,0,0
2,0.10,20,13,15,3,80.00,150.00,100.00,95.35,95.29,0,0.10,0.10,0,0,2,1,0,1
3,0.15,20,12,15,3,80.00,150.00,100.00,93.19,93.90,0,0.15,0.15,0,0,1,1,0,2
4,0.20,20,11,15,3,80.00,150.00,100.00,91.05,91.95,0,0.20,0.20,0,0,1,0,0,2
5,0.25,20,9,15,3,80.00,150.00,100.00,90.15,89.67,0,0.25,0.25,0,0,3,2,0,4
6,0.31,20,9,15,3,80.00,150.00,100.00,88.26,87.59,0,0.30,0.30,0,0,1,0,0,4
7,0.36,20,13,15,3,80.00,150.00,100.00,86.74,86.05,0,0.36,0.36,0,0,2,1,0,5
8,0.41,20,15,15,3,80.00,150.00,100.00,86.82,84.73,0,0.41,0.41,0,0,5,2,0,7
9,0.46,20,15,15,3,80.00,150.00,100.00,84.23,81.83,0,0.46,0.46,0,0,0,0,0,7
10,0.51,20,13,15,3,80.00,150.00,100.00,83.50,81.52,0,0.51,0.51,0,0,4,2,0,9
11,0.56,20,12,15,3,80.00,150.00,100.00,82.27,80.82,0,0.56,0.56,0,0,1,0,0,9
12,0.62,20,13,15,3,80.00,150.00,100.00,82.68,81.45,0,0.61,0.61,0,0,2,2,0,11
13,0.67,20,13,15,3,80.00,150.00,100.00,81.20,81.44,0,0.67,0.67,0,0,2,1,0,12
14,0.72,20,17,15,3,80.00,150.00,100.00,81.74,79.46,0,0.72,0.72,0,0,2,2,0,14
15,0.77,20,21,16,3,80.00,150.00,100.00,79.24,77.19,0,0.77,0.77,0,0,0,0,1,13
16,0.82,20,18,16,3,80.00,150.00,100.00,79.55,74.39,0,0.82,0.82,0,0,4,1,0,14
17,0.87,20,17,16,3,80.00,150.00,100.00,79.02,71.89,0,0.87,0.87,0,0,2,1,0,15
18,0.92,20,17,16,3,80.00,150.00,100.00,77.16,73.49,0,0.92,0.92,0,0,1,0,0,15
19,0.98,20,21,16,3,80.00,150.00,100.00,74.58,72.01,0,0.98,0.97,0,0,0,0,0,15
20,1.03,20,22,17,3,80.00,150.00,100.00,72.75,69.36,0,1.03,1.03,0,0,1,0,1,14
21,1.08,20,22,17,3,80.00,150.00,100.00,75.80,67.21,0,1.08,1.08,0,0,3,2,0,16
22,1.13,20,24,17,3,80.00,150.00,100.00,73.73,67.87,0,1.13,1.13,0,0,1,1,0,17
23,1.18,20,26,17,3,80.00,150.00,100.00,71.99,65.81,0,1.18,1.18,0,0,1,0,0,17
24,1.23,20,24,17,3,80.00,150.00,100.00,73.02,62.67,0,1.23,1.23,0,0,4,1,0,18
25,1.29,14,25,17,3,80.00,150.00,100.00,73.06,92.60,0,1.29,1.28,0,6,1,0,0,12
26,1.34,14,25,17,3,80.00,150.00,100.00,72.14,91.76,0,1.34,1.34,0,0,1,1,0,13
27,1.39,14,26,17,3,80.00,150.00,100.00,69.56,93.59,0,1.39,1.39,0,0,0,0,0,13
