epoch,year,population,food,bushes,water,avg_generation,max_generation,avg_memory,avg_speed,avg_vision,avg_age,avg_hunger,avg_thirst,oldest_age,oldest_bush_age,births,deaths,food_eaten,seeds_found,seeds_planted,seeds_held
1,0.05,150,24,25,3,0.00,0,0.032,80.00,150.00,0.05,97.34,95.98,0.05,0.04,0,0,1,1,0,1
2,0.11,150,22,25,3,0.00,0,0.045,80.00,150.00,0.11,94.74,92.23,0.11,0.09,0,0,2,1,0,2
3,0.16,150,20,25,3,0.00,0,0.045,80.00,150.00,0.16,92.16,88.47,0.16,0.15,0,0,2,1,0,3
4,0.21,150,18,25,3,0.00,0,0.052,80.00,150.00,0.21,89.61,84.81,0.21,0.20,0,0,2,0,0,3
5,0.27,150,20,25,3,0.00,0,0.058,80.00,150.00,0.27,87.23,81.23,0.27,0.25,0,0,4,2,0,5
