epoch,population,food,bushes,avg_speed,avg_vision,avg_reproduction,max_generation,oldest_age,births,deaths,food_eaten
1,399,15,15,31.02,37.81,65.61,30,0.50,379,0,0
2,517,11,15,32.58,44.89,66.42,60,1.00,118,0,4
3,576,8,15,34.33,48.36,66.62,61,1.50,59,0,3
4,595,4,15,34.31,48.37,66.97,61,2.02,19,0,4
5,679,3,15,34.70,49.84,67.10,61,2.53,84,0,6
6,861,0,15,34.87,54.32,67.23,72,3.05,182,0,11
7,1059,1,15,36.97,58.63,67.43,95,3.57,198,0,3
8,1154,1,15,37.95,60.19,67.27,99,4.07,95,0,3
9,1260,0,15,40.04,61.20,67.25,99,4.57,106,0,5
