epoch,population,food,bushes,avg_speed,avg_vision,avg_reproduction,max_generation,oldest_age,births,deaths,food_eaten
1,20,8,15,100.00,150.00,200.00,0,1.00,0,0,7
2,21,0,15,99.93,149.97,200.30,1,2.00,1,0,8
3,21,2,15,99.93,149.97,200.30,1,3.00,0,0,1
4,22,10,15,99.85,150.37,200.12,1,4.02,1,0,4
5,23,5,15,99.76,150.90,200.06,1,5.02,1,0,6
6,24,5,15,99.58,150.59,200.49,1,6.02,1,0,6
7,24,6,15,99.58,150.59,200.49,1,7.02,0,0,4
8,25,5,15,99.31,151.11,200.84,1,8.02,1,0,6
9,25,6,15,99.31,151.11,200.84,1,9.02,0,0,2
10,23,10,15,99.27,151.79,201.69,2,10.02,1,3,4
11,23,6,15,99.27,151.79,201.69,2,11.02,0,0,8
12,24,7,15,99.24,151.47,201.36,2,12.03,1,0,4
13,24,6,15,99.24,151.47,201.36,2,13.03,0,0,5
