epoch,population,food,bushes,avg_speed,avg_vision,avg_reproduction,max_generation,oldest_age,births,deaths,food_eaten
1,20,10,15,100.00,150.00,200.00,0,1.00,0,0,5
2,20,4,15,100.00,150.00,200.00,0,2.00,0,0,6
3,20,4,15,100.00,150.00,200.00,0,3.00,0,0,9
4,23,6,15,100.06,150.25,199.44,1,4.02,3,0,4
5,24,3,15,100.38,151.04,198.69,1,5.02,1,0,6
6,24,5,15,100.38,151.04,198.69,1,6.02,0,0,4
7,26,2,15,100.82,152.08,198.93,1,7.02,2,0,8
8,26,5,15,100.82,152.08,198.93,1,8.03,0,0,4
9,27,3,15,100.91,152.63,198.30,2,9.03,1,0,6
10,27,3,15,100.91,152.63,198.30,2,10.03,0,0,3
11,29,1,15,101.09,152.28,199.04,2,11.05,2,0,9
12,29,1,15,101.09,152.28,199.04,2,12.05,0,0,5
13,29,5,15,101.09,152.28,199.04,2,13.05,0,0,3
14,28,3,15,101.46,152.66,199.34,2,14.05,0,1,6
15,24,3,15,101.86,153.03,199.96,2,15.05,1,5,5
16,25,8,15,101.92,152.68,199.15,3,16.05,1,0,2
