epoch,population,food,bushes,avg_speed,avg_vision,avg_reproduction,max_generation,oldest_age,births,deaths,food_eaten
1,20,13,15,150.00,150.00,400.00,0,0.50,0,0,2
2,20,6,15,150.00,150.00,400.00,0,1.02,0,0,7
3,20,3,15,150.00,150.00,400.00,0,1.52,0,0,3
4,20,2,15,150.00,150.00,400.00,0,2.03,0,0,1
5,20,4,15,150.00,150.00,400.00,0,2.55,0,0,3
6,20,6,15,150.00,150.00,400.00,0,3.07,0,0,3
7,20,3,15,150.00,150.00,400.00,0,3.57,0,0,5
8,20,5,15,150.00,150.00,400.00,0,4.08,0,0,1
9,20,1,15,150.00,150.00,400.00,0,4.60,0,0,5
10,20,4,15,150.00,150.00,400.00,0,5.12,0,0,0
11,20,5,15,150.00,150.00,400.00,0,5.63,0,0,2
12,20,7,15,150.00,150.00,400.00,0,6.15,0,0,4
13,20,8,15,150.00,150.00,400.00,0,6.67,0,0,2
14,20,3,15,150.00,150.00,400.00,0,7.18,0,0,5
15,20,3,15,150.00,150.00,400.00,0,7.70,0,0,1
16,20,2,15,150.00,150.00,400.00,0,8.22,0,0,3
17,20,5,15,150.00,150.00,400.00,0,8.73,0,0,3
18,20,4,15,150.00,150.00,400.00,0,9.25,0,0,4
19,20,4,15,150.00,150.00,400.00,0,9.77,0,0,2
20,17,4,15,150.00,150.00,400.00,0,10.28,0,3,2
21,17,5,15,150.00,150.00,400.00,0,10.80,0,0,1
22,17,4,15,150.00,150.00,400.00,0,11.32,0,0,4
23,17,7,15,150.00,150.00,400.00,0,11.83,0,0,1
24,13,6,15,150.00,150.00,400.00,0,12.35,0,4,3
25,13,6,15,150.00,150.00,400.00,0,12.87,0,0,2
26,9,5,15,150.00,150.00,400.00,0,13.38,0,4,2
