epoch,year,population,food,bushes,water,avg_speed,avg_vision,avg_reproduction,avg_hunger,avg_thirst,max_generation,oldest_age,oldest_bush_age,births,deaths,food_eaten,seeds_found,seeds_planted,seeds_held
1,0.05,20,15,15,3,80.00,150.00,200.00,97.50,96.38,0,0.05,0.05,0,0,0,0,0,0
2,0.10,20,12,15,3,80.00,150.00,200.00,95.33,92.93,0,0.10,0.10,0,0,3,1,0,1
3,0.15,20,12,15,3,80.00,150.00,200.00,92.75,91.14,0,0.15,0.15,0,0,0,0,0,1
4,0.20,20,7,16,3,80.00,150.00,200.00,92.50,87.89,0,0.20,0.20,0,0,6,3,1,3
5,0.26,20,8,16,3,80.00,150.00,200.00,90.53,88.49,0,0.25,0.25,0,0,1,1,0,4
6,0.31,20,7,18,3,80.00,150.00,200.00,91.15,87.28,0,0.31,0.31,0,0,6,3,2,5
7,0.36,20,11,18,3,80.00,150.00,200.00,90.34,88.52,0,0.36,0.36,0,0,3,0,0,5
8,0.41,20,10,18,3,80.00,150.00,200.00,90.04,86.76,0,0.41,0.41,0,0,4,2,0,7
9,0.46,20,9,18,3,80.00,150.00,200.00,88.22,85.93,0,0.46,0.46,0,0,2,2,0,9
10,0.51,20,8,18,3,80.00,150.00,200.00,87.12,83.56,0,0.51,0.51,0,0,2,1,0,10
11,0.57,20,7,19,3,80.00,150.00,200.00,86.37,82.02,0,0.56,0.56,0,0,4,4,1,13
12,0.62,20,6,22,3,80.00,150.00,200.00,86.05,80.75,0,0.62,0.62,0,0,7,3,3,13
13,0.67,20,11,24,3,80.00,150.00,200.00,83.80,78.71,0,0.67,0.67,0,0,2,1,2,12
14,0.72,20,12,24,3,80.00,150.00,200.00,82.52,79.51,0,0.72,0.72,0,0,3,1,0,13
15,0.77,20,12,25,3,80.00,150.00,200.00,84.22,78.09,0,0.77,0.77,0,0,5,2,1,14
16,0.82,20,12,26,3,80.00,150.00,200.00,82.83,76.35,0,0.82,0.82,0,0,2,0,1,13
17,0.88,20,9,27,3,80.00,150.00,200.00,84.73,75.62,0,0.88,0.87,0,0,7,3,1,15
18,0.93,20,13,28,3,80.00,150.00,200.00,84.16,77.67,0,0.93,0.93,0,0,2,1,1,15
19,0.98,20,14,28,3,80.00,150.00,200.00,85.13,77.65,0,0.98,0.98,0,0,9,7,0,22
20,1.03,20,16,28,3,80.00,150.00,200.00,82.83,77.97,0,1.03,1.03,0,0,2,1,0,23
21,1.08,20,12,28,3,80.00,150.00,200.00,82.88,74.71,0,1.08,1.08,0,0,7,3,0,26
22,1.13,20,12,30,3,80.00,150.00,200.00,82.16,75.37,0,1.13,1.13,0,0,3,2,2,26
23,1.18,20,15,30,3,80.00,150.00,200.00,83.36,73.91,0,1.18,1.18,0,0,8,5,0,31
24,1.23,20,18,31,3,80.00,150.00,200.00,81.80,72.87,0,1.23,1.23,0,0,3,2,1,32
