epoch,population,food,bushes,avg_speed,avg_vision,avg_reproduction,max_generation,oldest_age,births,deaths,food_eaten
1,20,13,15,50.00,100.00,500.00,0,0.50,0,0,2
2,20,10,15,50.00,100.00,500.00,0,1.00,0,0,3
3,20,8,15,50.00,100.00,500.00,0,1.52,0,0,2
4,20,8,15,50.00,100.00,500.00,0,2.02,0,0,0
5,20,9,15,50.00,100.00,500.00,0,2.52,0,0,0
6,20,7,15,50.00,100.00,500.00,0,3.03,0,0,7
7,20,8,15,50.00,100.00,500.00,0,3.53,0,0,4
8,20,11,15,50.00,100.00,500.00,0,4.05,0,0,1
9,20,11,15,50.00,100.00,500.00,0,4.55,0,0,0
10,20,11,15,50.00,100.00,500.00,0,5.05,0,0,1
11,20,13,15,50.00,100.00,500.00,0,5.57,0,0,0
12,20,15,15,50.00,100.00,500.00,0,6.08,0,0,1
13,20,17,15,50.00,100.00,500.00,0,6.60,0,0,1
14,20,18,15,50.00,100.00,500.00,0,7.10,0,0,5
15,20,14,15,50.00,100.00,500.00,0,7.62,0,0,4
16,20,11,15,50.00,100.00,500.00,0,8.13,0,0,3
17,20,14,15,50.00,100.00,500.00,0,8.65,0,0,1
18,20,14,15,50.00,100.00,500.00,0,9.17,0,0,2
19,20,13,15,50.00,100.00,500.00,0,9.68,0,0,3
20,13,14,15,50.00,100.00,500.00,0,10.20,0,7,2
21,13,15,15,50.00,100.00,500.00,0,10.72,0,0,2
22,13,15,15,50.00,100.00,500.00,0,11.23,0,0,2
23,13,15,15,50.00,100.00,500.00,0,11.75,0,0,2
24,13,16,15,50.00,100.00,500.00,0,12.27,0,0,1
25,13,14,15,50.00,100.00,500.00,0,12.78,0,0,3
26,13,14,15,50.00,100.00,500.00,0,13.30,0,0,4
27,13,16,15,50.00,100.00,500.00,0,13.82,0,0,0
28,13,14,15,50.00,100.00,500.00,0,14.33,0,0,4
29,13,16,15,50.00,100.00,500.00,0,14.85,0,0,2
30,13,17,15,50.00,100.00,500.00,0,15.37,0,0,1
31,13,16,15,50.00,100.00,500.00,0,15.88,0,0,2
32,13,14,15,50.00,100.00,500.00,0,16.40,0,0,2
33,13,16,15,50.00,100.00,500.00,0,16.92,0,0,1
34,13,16,15,50.00,100.00,500.00,0,17.43,0,0,1
35,13,19,15,50.00,100.00,500.00,0,17.95,0,0,1
36,14,19,15,49.97,98.84,498.85,1,18.47,1,0,3
37,14,20,15,49.97,98.84,498.85,1,18.98,0,0,1
38,14,19,15,49.97,98.84,498.85,1,19.50,0,0,1
39,12,18,15,49.96,98.65,498.65,1,20.02,0,2,2
40,12,19,15,49.96,98.65,498.65,1,20.53,0,0,1
41,12,20,15,49.96,98.65,498.65,1,21.05,0,0,1
42,12,21,15,49.96,98.65,498.65,1,21.57,0,0,0
43,12,22,15,49.96,98.65,498.65,1,22.08,0,0,4
44,12,18,15,49.96,98.65,498.65,1,22.60,0,0,5
45,12,17,15,49.96,98.65,498.65,1,23.12,0,0,2
46,12,18,15,49.96,98.65,498.65,1,23.63,0,0,1
47,12,21,15,49.96,98.65,498.65,1,24.15,0,0,1
48,12,21,15,49.96,98.65,498.65,1,24.67,0,0,2
49,12,20,15,49.96,98.65,498.65,1,25.18,0,0,2
50,12,21,15,49.96,98.65,498.65,1,25.70,0,0,2
51,13,16,15,49.77,98.35,499.65,1,26.22,1,0,5
52,13,17,15,49.77,98.35,499.65,1,26.73,0,0,1
53,13,16,15,49.77,98.35,499.65,1,27.25,0,0,4
54,13,16,15,49.77,98.35,499.65,1,27.77,0,0,2
55,12,13,15,49.78,99.57,500.97,1,28.28,0,1,3
56,12,14,15,49.78,99.57,500.97,1,28.80,0,0,3
57,12,14,15,49.78,99.57,500.97,1,29.32,0,0,1
58,12,13,15,49.78,99.57,500.97,1,29.83,0,0,2
59,12,14,15,49.78,99.57,500.97,1,30.35,0,0,4
60,12,12,15,49.78,99.57,500.97,1,30.87,0,0,4
61,12,13,15,49.78,99.57,500.97,1,31.38,0,0,0
62,13,11,15,50.46,100.30,500.16,1,31.90,1,0,4
63,13,11,15,50.46,100.30,500.16,1,32.42,0,0,2
64,13,15,15,50.46,100.30,500.16,1,32.93,0,0,0
65,13,14,15,50.46,100.30,500.16,1,33.45,0,0,1
66,13,17,15,50.46,100.30,500.16,1,33.97,0,0,1
67,15,14,15,50.27,99.64,499.48,1,34.48,2,0,6
68,15,14,15,50.27,99.64,499.48,1,35.00,0,0,1
69,15,15,15,50.27,99.64,499.48,1,35.52,0,0,1
70,15,19,15,50.27,99.64,499.48,1,36.03,0,0,2
71,15,17,15,50.27,99.64,499.48,1,36.55,0,0,2
72,15,20,15,50.27,99.64,499.48,1,37.07,0,0,0
73,16,19,15,49.66,99.13,500.49,1,37.58,1,0,3
74,16,18,15,49.66,99.13,500.49,1,38.10,0,0,2
75,16,19,15,49.66,99.13,500.49,1,38.62,0,0,1
76,16,20,15,49.66,99.13,500.49,1,39.13,0,0,2
77,16,17,15,49.66,99.13,500.49,1,39.65,0,0,5
78,16,17,15,49.66,99.13,500.49,1,40.17,0,0,0
79,16,17,15,49.66,99.13,500.49,1,40.68,0,0,4
80,16,15,15,49.66,99.13,500.49,1,41.20,0,0,2
81,16,15,15,49.66,99.13,500.49,1,41.72,0,0,3
82,16,18,15,49.66,99.13,500.49,1,42.23,0,0,1
83,16,16,15,49.66,99.13,500.49,1,42.75,0,0,2
84,16,14,15,49.66,99.13,500.49,1,43.27,0,0,3
85,16,14,15,49.66,99.13,500.49,1,43.78,0,0,1
86,16,16,15,49.66,99.13,500.49,1,44.30,0,0,0
87,16,16,15,49.66,99.13,500.49,1,44.82,0,0,1
88,17,12,15,49.78,98.85,499.99,2,45.33,1,0,5
89,17,14,15,49.78,98.85,499.99,2,45.85,0,0,3
90,17,16,15,49.78,98.85,499.99,2,46.37,0,0,1
91,17,15,15,49.78,98.85,499.99,2,46.88,0,0,2
92,17,14,15,49.78,98.85,499.99,2,47.40,0,0,1
93,16,13,15,50.36,99.31,499.00,2,47.92,0,1,2
94,16,15,15,50.36,99.31,499.00,2,48.43,0,0,1
95,16,15,15,50.36,99.31,499.00,2,48.95,0,0,2
96,16,16,15,50.36,99.31,499.00,2,49.47,0,0,3
97,16,17,15,50.36,99.31,499.00,2,49.97,0,0,1
98,16,17,15,50.36,99.31,499.00,2,50.48,0,0,1
99,16,15,15,50.36,99.31,499.00,2,51.00,0,0,3
100,16,16,15,50.36,99.31,499.00,2,51.52,0,0,0
101,16,20,15,50.36,99.31,499.00,2,52.03,0,0,1
102,16,21,15,50.36,99.31,499.00,2,52.55,0,0,2
103,17,19,15,50.66,99.30,499.90,2,53.07,1,0,3
104,17,18,15,50.66,99.30,499.90,2,53.58,0,0,1
105,17,17,15,50.66,99.30,499.90,2,54.10,0,0,1
106,17,18,15,50.66,99.30,499.90,2,54.62,0,0,4
107,17,16,15,50.66,99.30,499.90,2,55.13,0,0,4
108,17,16,15,50.66,99.30,499.90,2,55.65,0,0,3
109,17,16,15,50.66,99.30,499.90,2,56.17,0,0,1
110,17,14,15,50.66,99.30,499.90,2,56.68,0,0,3
111,17,14,15,50.66,99.30,499.90,2,57.20,0,0,2
112,17,11,15,50.66,99.30,499.90,2,57.72,0,0,4
113,17,13,15,50.66,99.30,499.90,2,58.35,0,0,1
114,17,13,15,50.66,99.30,499.90,2,58.88,0,0,2
115,17,13,15,50.66,99.30,499.90,2,59.42,0,0,2
116,16,15,15,50.64,99.60,499.54,2,59.95,0,1,0
117,14,15,15,50.61,99.94,500.05,2,60.48,0,2,4
118,14,14,15,50.61,99.94,500.05,2,61.02,0,0,1
119,14,12,15,50.61,99.94,500.05,2,61.55,0,0,5
120,14,12,15,50.61,99.94,500.05,2,62.08,0,0,1
121,14,15,15,50.61,99.94,500.05,2,62.62,0,0,0
