epoch,year,population,food,bushes,water,avg_speed,avg_vision,avg_reproduction,avg_hunger,avg_thirst,max_generation,oldest_age,oldest_bush_age,births,deaths,food_eaten,seeds_found,seeds_planted,seeds_held
1,0.05,20,15,15,3,80.00,150.00,100.00,97.50,96.40,0,0.05,0.05,0,0,0,0,0,0
2,0.10,20,15,15,3,80.00,150.00,100.00,95.00,93.41,0,0.10,0.10,0,0,0,0,0,0
3,0.15,20,15,15,3,80.00,150.00,100.00,92.50,89.79,0,0.15,0.15,0,0,0,0,0,0
4,0.20,20,13,15,3,80.00,150.00,100.00,90.78,89.18,0,0.20,0.20,0,0,2,0,0,0
5,0.25,20,14,15,3,80.00,150.00,100.00,88.72,86.97,0,0.25,0.25,0,0,1,1,0,1
6,0.30,20,14,15,3,80.00,150.00,100.00,88.27,87.75,0,0.30,0.30,0,0,3,1,0,2
7,0.36,20,17,15,3,80.00,150.00,100.00,85.69,89.39,0,0.35,0.35,0,0,0,0,0,2
8,0.41,20,23,15,3,80.00,150.00,100.00,84.08,88.68,0,0.41,0.41,0,0,1,1,0,3
9,0.46,20,21,15,3,80.00,150.00,100.00,84.12,87.44,0,0.46,0.46,0,0,3,3,0,6
10,0.51,20,20,15,3,80.00,150.00,100.00,82.25,86.35,0,0.51,0.51,0,0,1,0,0,6
11,0.56,20,17,15,3,80.00,150.00,100.00,83.64,85.97,0,0.56,0.56,0,0,3,3,0,9
12,0.61,20,18,15,3,80.00,150.00,100.00,82.57,91.04,0,0.61,0.61,0,0,2,0,0,9
13,0.67,20,23,15,3,80.00,150.00,100.00,80.63,88.80,0,0.66,0.66,0,0,1,0,0,9
14,0.72,20,24,15,3,80.00,150.00,100.00,81.01,86.31,0,0.72,0.72,0,0,3,3,0,12
15,0.77,20,24,15,3,80.00,150.00,100.00,79.14,85.19,0,0.77,0.77,0,0,1,0,0,12
16,0.82,20,24,15,3,80.00,150.00,100.00,77.83,86.30,0,0.82,0.82,0,0,1,0,0,12
17,0.87,20,25,15,3,80.00,150.00,100.00,76.11,87.65,0,0.87,0.87,0,0,1,0,0,12
18,0.92,20,25,15,3,80.00,150.00,100.00,76.92,88.33,0,0.92,0.92,0,0,3,2,0,14
19,0.98,20,24,15,3,80.00,150.00,100.00,75.80,87.33,0,0.98,0.97,0,0,2,1,0,15
20,1.03,20,24,15,3,80.00,150.00,100.00,74.15,86.22,0,1.03,1.03,0,0,1,1,0,16
21,1.08,20,24,15,3,80.00,150.00,100.00,74.65,84.87,0,1.08,1.08,0,0,2,1,0,17
22,1.13,20,26,15,3,80.00,150.00,100.00,74.97,83.48,0,1.13,1.13,0,0,3,2,0,19
23,1.18,20,23,15,3,80.00,150.00,100.00,77.55,87.98,0,1.18,1.18,0,0,4,3,0,22
24,1.23,20,25,15,3,80.00,150.00,100.00,74.97,88.55,0,1.23,1.23,0,0,0,0,0,22
25,1.28,19,25,15,3,80.00,150.00,100.00,75.41,90.09,0,1.28,1.28,0,1,2,1,0,23
26,1.34,19,22,15,3,80.00,150.00,100.00,77.22,92.58,0,1.34,1.33,0,0,4,1,0,24
27,1.39,19,22,15,3,80.00,150.00,100.00,78.25,92.39,0,1.39,1.39,0,0,2,2,0,26
28,1.44,19,23,15,3,80.00,150.00,100.00,75.98,92.41,0,1.44,1.44,0,0,1,0,0,26
29,1.49,19,22,15,3,80.00,150.00,100.00,75.21,93.03,0,1.49,1.49,0,0,3,0,0,26
