epoch,population,food,bushes,avg_speed,avg_vision,avg_reproduction,max_generation,oldest_age,births,deaths,food_eaten
1,20,15,15,50.00,100.00,500.00,0,0.50,0,0,0
2,20,13,15,50.00,100.00,500.00,0,1.00,0,0,2
3,20,10,15,50.00,100.00,500.00,0,1.52,0,0,3
4,20,7,15,50.00,100.00,500.00,0,2.03,0,0,3
5,20,11,15,50.00,100.00,500.00,0,2.55,0,0,1
6,20,11,15,50.00,100.00,500.00,0,3.07,0,0,3
7,20,10,15,50.00,100.00,500.00,0,3.57,0,0,2
8,20,14,15,50.00,100.00,500.00,0,4.07,0,0,2
9,20,14,15,50.00,100.00,500.00,0,4.58,0,0,0
10,20,13,15,50.00,100.00,500.00,0,5.10,0,0,2
11,20,13,15,50.00,100.00,500.00,0,5.62,0,0,4
12,20,15,15,50.00,100.00,500.00,0,6.13,0,0,1
13,20,17,15,50.00,100.00,500.00,0,6.63,0,0,2
14,20,18,15,50.00,100.00,500.00,0,7.15,0,0,0
15,20,17,15,50.00,100.00,500.00,0,7.67,0,0,4
16,20,12,15,50.00,100.00,500.00,0,8.17,0,0,6
17,20,12,15,50.00,100.00,500.00,0,8.67,0,0,1
18,20,14,15,50.00,100.00,500.00,0,9.18,0,0,0
19,20,16,15,50.00,100.00,500.00,0,9.70,0,0,2
20,13,15,15,50.00,100.00,500.00,0,10.22,0,7,3
21,13,14,15,50.00,100.00,500.00,0,10.73,0,0,2
22,13,14,15,50.00,100.00,500.00,0,11.25,0,0,1
23,13,13,15,50.00,100.00,500.00,0,11.75,0,0,3
24,13,13,15,50.00,100.00,500.00,0,12.25,0,0,1
25,13,12,15,50.00,100.00,500.00,0,12.75,0,0,3
26,13,14,15,50.00,100.00,500.00,0,13.25,0,0,2
27,13,14,15,50.00,100.00,500.00,0,13.77,0,0,2
28,13,13,15,50.00,100.00,500.00,0,14.27,0,0,2
29,13,13,15,50.00,100.00,500.00,0,14.77,0,0,2
30,11,15,15,50.00,100.00,500.00,0,15.27,0,2,0
31,11,15,15,50.00,100.00,500.00,0,15.77,0,0,1
32,11,15,15,50.00,100.00,500.00,0,16.27,0,0,4
33,11,15,15,50.00,100.00,500.00,0,16.77,0,0,3
34,11,16,15,50.00,100.00,500.00,0,17.27,0,0,0
35,11,15,15,50.00,100.00,500.00,0,17.77,0,0,2
36,12,15,15,49.48,100.23,500.74,1,18.27,1,0,1
37,12,18,15,49.48,100.23,500.74,1,18.77,0,0,0
38,12,18,15,49.48,100.23,500.74,1,19.27,0,0,2
39,12,20,15,49.48,100.23,500.74,1,19.77,0,0,1
40,12,19,15,49.48,100.23,500.74,1,20.27,0,0,2
41,12,19,15,49.48,100.23,500.74,1,20.77,0,0,2
