epoch,year,population,food,bushes,water,avg_generation,max_generation,avg_memory,avg_speed,avg_vision,avg_age,avg_hunger,avg_thirst,oldest_age,oldest_bush_age,births,deaths,food_eaten,seeds_found,seeds_planted,seeds_held
1,0.05,150,14,15,3,0.00,0,0.023,80.00,150.00,0.05,97.34,95.95,0.05,0.04,0,0,1,1,0,1
2,0.11,150,12,15,3,0.00,0,0.038,80.00,150.00,0.11,94.73,92.17,0.11,0.09,0,0,2,2,0,3
3,0.16,150,11,15,3,0.00,0,0.040,80.00,150.00,0.16,92.12,88.34,0.16,0.15,0,0,1,1,0,4
4,0.21,150,11,15,3,0.00,0,0.044,80.00,150.00,0.21,89.45,84.59,0.21,0.20,0,0,0,0,0,4
5,0.27,150,12,15,3,0.00,0,0.040,80.00,150.00,0.27,86.96,80.67,0.27,0.25,0,0,2,1,0,5
6,0.32,150,14,15,3,0.00,0,0.053,80.00,150.00,0.32,84.49,77.08,0.32,0.31,0,0,4,3,0,8
7,0.37,150,12,15,3,0.00,0,0.062,80.00,150.00,0.37,82.05,73.53,0.37,0.36,0,0,3,1,0,9
8,0.43,150,17,15,3,0.00,0,0.052,80.00,150.00,0.43,79.39,69.54,0.43,0.41,0,0,0,0,0,9
9,0.48,150,16,15,3,0.00,0,0.049,80.00,150.00,0.48,76.99,66.02,0.48,0.47,0,0,2,2,0,11
10,0.53,150,16,15,3,0.00,0,0.055,80.00,150.00,0.53,74.33,62.51,0.53,0.52,0,0,0,0,0,11
11,0.59,150,20,15,3,0.00,0,0.059,80.00,150.00,0.59,71.76,59.13,0.59,0.57,0,0,1,0,0,11
12,0.64,150,21,15,3,0.00,0,0.058,80.00,150.00,0.64,69.14,55.59,0.64,0.63,0,0,1,0,0,11
13,0.69,150,24,15,3,0.00,0,0.044,80.00,150.00,0.69,66.70,51.64,0.69,0.68,0,0,1,0,0,11
14,0.75,150,23,15,3,0.00,0,0.043,80.00,150.00,0.75,64.31,48.38,0.75,0.73,0,0,2,1,0,12
15,0.80,150,25,15,3,0.00,0,0.047,80.00,150.00,0.80,61.80,44.88,0.80,0.79,0,0,1,1,0,13
16,0.85,150,26,16,3,0.00,0,0.066,80.00,150.00,0.85,59.13,43.36,0.85,0.84,0,0,0,0,1,12
17,0.91,150,27,16,3,0.00,0,0.060,80.00,150.00,0.91,56.81,39.46,0.91,0.89,0,0,2,1,0,13
18,0.96,150,24,16,3,0.00,0,0.053,80.00,150.00,0.96,54.77,36.20,0.96,0.95,0,0,3,1,0,14
19,1.01,150,26,16,3,0.00,0,0.057,80.00,150.00,1.01,52.35,32.84,1.01,1.00,0,0,1,0,0,14
20,1.07,150,29,16,3,0.00,0,0.008,80.00,150.00,1.07,49.73,29.15,1.07,1.05,0,0,2,1,0,15
21,1.12,150,30,17,3,0.00,0,-0.255,80.00,150.00,1.12,47.44,25.32,1.12,1.11,0,0,2,2,1,16
22,1.17,150,32,18,3,0.00,0,-0.316,80.00,150.00,1.17,45.16,21.95,1.17,1.16,0,0,1,0,1,15
23,1.23,150,30,18,3,0.00,0,-0.333,80.00,150.00,1.23,42.98,18.51,1.23,1.21,0,0,2,1,0,16
24,1.28,36,28,18,3,0.00,0,0.181,80.00,150.00,1.28,43.61,70.01,1.28,1.28,0,114,3,2,0,8
25,1.33,35,28,18,3,0.00,0,0.206,80.00,150.00,1.33,41.32,70.45,1.33,1.33,0,1,0,0,0,8
26,1.38,33,34,18,3,0.00,0,0.210,80.00,150.00,1.38,38.14,72.42,1.38,1.38,0,2,0,0,0,6
27,1.43,32,33,18,3,0.00,0,0.192,80.00,150.00,1.43,39.63,71.72,1.43,1.43,0,1,3,1,0,7
28,1.48,32,34,18,3,0.00,0,0.215,80.00,150.00,1.48,37.04,71.67,1.48,1.48,0,0,0,0,0,7
29,1.53,32,35,18,3,0.00,0,0.223,80.00,150.00,1.53,34.54,69.61,1.53,1.53,0,0,0,0,0,7
30,1.58,32,37,18,3,0.00,0,0.174,80.00,150.00,1.58,31.96,67.60,1.58,1.58,0,0,0,0,0,7
31,1.63,31,41,18,3,0.00,0,0.184,80.00,150.00,1.63,29.73,71.60,1.63,1.63,0,1,0,0,0,7
32,1.68,30,40,18,3,0.00,0,0.229,80.00,150.00,1.68,28.25,71.62,1.68,1.68,0,1,3,1,0,5
33,1.74,29,41,18,3,0.00,0,0.005,80.00,150.00,1.74,26.09,72.11,1.74,1.73,0,1,0,0,0,5
34,1.79,28,42,18,3,0.00,0,-0.042,80.00,150.00,1.79,23.97,73.83,1.79,1.79,0,1,0,0,0,5
35,1.84,26,41,18,3,0.00,0,0.017,80.00,150.00,1.84,24.33,78.25,1.84,1.84,0,2,1,0,0,5
36,1.89,26,42,18,3,0.00,0,-0.074,80.00,150.00,1.89,21.75,77.66,1.89,1.89,0,0,0,0,0,5
37,1.94,26,46,18,3,0.00,0,-0.044,80.00,150.00,1.94,19.16,77.07,1.94,1.94,0,0,0,0,0,5
38,1.99,25,47,18,3,0.00,0,-0.032,80.00,150.00,1.99,19.19,78.29,1.99,1.99,0,1,2,2,0,7
39,2.05,8,47,18,3,0.00,0,0.334,80.00,150.00,2.05,44.40,80.43,2.05,2.04,0,17,0,0,0,5
40,2.10,8,47,18,3,0.00,0,0.330,80.00,150.00,2.10,41.81,84.23,2.10,2.10,0,0,0,0,0,5
41,2.15,7,47,18,3,0.00,0,0.472,80.00,150.00,2.15,45.89,95.43,2.15,2.15,0,1,1,0,0,4
42,2.20,6,49,18,3,0.00,0,0.434,80.00,150.00,2.20,50.86,92.89,2.20,2.20,0,1,0,0,0,3
43,2.25,6,48,18,3,0.00,0,0.421,80.00,150.00,2.25,50.32,91.91,2.25,2.25,0,0,1,0,0,3
44,2.30,6,48,18,3,0.00,0,0.468,80.00,150.00,2.30,47.74,90.38,2.30,2.30,0,0,0,0,0,3
45,2.36,6,49,18,3,0.00,0,0.348,80.00,150.00,2.35,45.15,88.31,2.35,2.35,0,0,0,0,0,3
46,2.41,6,50,18,3,0.00,0,0.406,80.00,150.00,2.41,42.57,96.18,2.41,2.41,0,0,0,0,0,3
47,2.46,6,50,18,3,0.00,0,0.227,80.00,150.00,2.46,39.99,94.11,2.46,2.46,0,0,0,0,0,3
48,2.51,6,51,18,3,0.00,0,0.126,80.00,150.00,2.51,37.40,91.36,2.51,2.51,0,0,0,0,0,3
49,2.56,6,47,18,3,0.00,0,0.200,80.00,150.00,2.56,34.82,90.40,2.56,2.56,0,0,0,0,0,3
50,2.61,5,48,18,3,0.00,0,0.221,80.00,150.00,2.61,38.77,86.00,2.61,2.61,0,1,0,0,0,1
51,2.67,5,50,18,3,0.00,0,0.154,80.00,150.00,2.66,36.18,83.52,2.66,2.66,0,0,0,0,0,1
52,2.72,4,47,18,3,0.00,0,0.091,80.00,150.00,2.72,60.63,76.30,2.72,2.72,0,1,3,2,0,3
53,2.77,4,49,18,3,0.00,0,0.078,80.00,150.00,2.77,58.04,73.20,2.77,2.77,0,0,0,0,0,3
54,2.82,4,49,18,3,0.00,0,0.080,80.00,150.00,2.82,57.00,70.10,2.82,2.82,0,0,1,0,0,3
55,2.87,4,47,18,3,0.00,0,0.078,80.00,150.00,2.87,54.63,67.00,2.87,2.87,0,0,1,1,0,4
56,2.92,4,46,18,3,0.00,0,0.314,80.00,150.00,2.92,52.04,83.93,2.92,2.92,0,0,0,0,0,4
57,2.98,3,47,18,3,0.00,0,0.445,80.00,150.00,2.97,66.69,76.98,2.97,2.97,0,1,0,0,0,4
58,3.03,3,47,18,3,0.00,0,0.303,80.00,150.00,3.03,64.11,74.22,3.03,3.03,0,0,0,0,0,4
59,3.08,3,46,18,3,0.00,0,0.274,80.00,150.00,3.08,61.53,71.47,3.08,3.08,0,0,0,0,0,4
60,3.13,3,47,18,3,0.00,0,0.207,80.00,150.00,3.13,58.94,68.71,3.13,3.13,0,0,0,0,0,4
61,3.18,3,48,18,3,0.00,0,0.122,80.00,150.00,3.18,56.36,65.96,3.18,3.18,0,0,0,0,0,4
62,3.23,3,48,18,3,0.00,0,-0.014,80.00,150.00,3.23,60.11,63.20,3.23,3.23,0,0,3,2,0,6
63,3.29,3,48,18,3,0.00,0,-0.056,80.00,150.00,3.28,57.53,60.44,3.28,3.28,0,0,0,0,0,6
64,3.34,3,47,18,3,0.00,0,-0.059,80.00,150.00,3.34,56.53,57.69,3.34,3.34,0,0,2,1,0,7
65,3.39,3,45,18,3,0.33,1,0.302,80.46,149.06,2.26,28.94,100.00,3.39,3.39,1,1,0,0,0,5
66,3.44,2,45,18,3,0.50,1,0.699,80.68,148.59,1.75,40.17,100.00,3.44,3.44,0,1,0,0,0,5
67,3.49,2,47,18,3,0.50,1,0.779,80.68,148.59,1.80,37.58,100.00,3.49,3.49,0,0,0,0,0,5
68,3.54,2,47,18,3,0.50,1,0.796,80.68,148.59,1.85,35.00,100.00,3.54,3.54,0,0,0,0,0,5
69,3.60,2,47,18,3,0.50,1,0.799,80.68,148.59,1.91,32.42,100.00,3.59,3.59,0,0,0,0,0,5
70,3.65,2,47,18,3,0.50,1,0.652,80.68,148.59,1.96,29.83,99.40,3.65,3.65,0,0,0,0,0,5
71,3.70,2,47,18,3,0.50,1,0.451,80.68,148.59,2.01,27.25,97.33,3.70,3.70,0,0,0,0,0,5
72,3.75,2,48,18,3,0.50,1,0.233,80.68,148.59,2.06,24.67,95.27,3.75,3.75,0,0,0,0,0,5
73,3.80,2,48,18,3,0.50,1,0.173,80.68,148.59,2.11,47.08,93.20,3.80,3.80,0,0,1,0,0,5
74,3.85,2,47,18,3,0.50,1,0.155,80.68,148.59,2.16,44.50,91.13,3.85,3.85,0,0,0,0,0,5
75,3.91,2,45,18,3,0.50,1,0.151,80.68,148.59,2.22,41.92,89.07,3.90,3.90,0,0,0,0,0,5
76,3.96,2,46,18,3,0.50,1,0.150,80.68,148.59,2.27,39.33,87.00,3.96,3.96,0,0,0,0,0,5
77,4.01,2,47,18,3,0.50,1,0.150,80.68,148.59,2.32,36.75,84.93,4.01,4.01,0,0,0,0,0,5
78,4.06,1,47,18,3,1.00,1,0.000,81.37,147.19,0.68,70.83,65.73,0.68,4.06,0,1,0,0,0,0
79,4.11,1,47,18,3,1.00,1,0.000,81.37,147.19,0.73,68.25,61.60,0.73,4.11,0,0,0,0,0,0
80,4.16,1,45,18,3,1.00,1,0.000,81.37,147.19,0.79,65.67,57.47,0.79,4.16,0,0,0,0,0,0
81,4.22,1,47,18,3,1.00,1,0.007,81.37,147.19,0.84,98.33,53.33,0.84,4.21,0,0,1,1,0,1
82,4.27,1,48,18,3,1.00,1,0.369,81.37,147.19,0.89,95.75,100.00,0.89,4.27,0,0,0,0,0,1
83,4.32,1,47,18,3,1.00,1,0.283,81.37,147.19,0.94,93.17,98.00,0.94,4.32,0,0,0,0,0,1
84,4.37,1,47,18,3,1.00,1,0.073,81.37,147.19,0.99,99.58,93.87,0.99,4.37,0,0,1,1,0,2
85,4.42,1,46,18,3,1.00,1,0.015,81.37,147.19,1.05,97.00,89.73,1.05,4.42,0,0,0,0,0,2
86,4.47,1,48,18,3,1.00,1,0.003,81.37,147.19,1.10,94.42,85.60,1.10,4.47,0,0,0,0,0,2
87,4.53,1,46,18,3,1.00,1,0.022,81.37,147.19,1.15,98.58,81.47,1.15,4.52,0,0,1,0,0,2
88,4.58,1,47,18,3,1.00,1,0.004,81.37,147.19,1.20,96.00,77.33,1.20,4.58,0,0,0,0,0,2
89,4.63,1,49,18,3,1.00,1,0.001,81.37,147.19,1.25,93.42,73.20,1.25,4.63,0,0,0,0,0,2
90,4.68,1,48,18,3,1.00,1,0.000,81.37,147.19,1.30,90.83,69.07,1.30,4.68,0,0,0,0,0,2
91,4.73,1,49,18,3,1.00,1,0.000,81.37,147.19,1.36,88.25,64.93,1.36,4.73,0,0,0,0,0,2
92,4.78,1,52,18,3,1.00,1,0.000,81.37,147.19,1.41,85.67,60.80,1.41,4.78,0,0,0,0,0,2
93,4.84,1,52,18,3,1.00,1,0.000,81.37,147.19,1.46,83.08,56.67,1.46,4.83,0,0,0,0,0,2
94,4.89,1,52,18,3,1.00,1,0.000,81.37,147.19,1.51,80.50,52.53,1.51,4.89,0,0,0,0,0,2
95,4.94,1,53,18,3,1.00,1,0.000,81.37,147.19,1.56,77.92,48.40,1.56,4.94,0,0,0,0,0,2
96,4.99,1,51,18,3,1.00,1,0.049,81.37,147.19,1.61,99.67,44.27,1.61,4.99,0,0,2,1,0,3
97,5.04,1,51,18,3,1.00,1,0.015,81.37,147.19,1.67,97.75,40.13,1.67,5.04,0,0,1,0,0,3
98,5.09,2,49,18,3,1.50,2,0.337,80.74,146.80,0.86,42.29,100.00,1.72,5.09,1,0,0,0,0,3
99,5.15,2,49,18,3,1.50,2,0.428,80.74,146.80,0.92,39.71,98.47,1.77,5.14,0,0,0,0,0,3
100,5.20,2,49,18,3,1.50,2,0.406,80.74,146.80,0.97,37.13,96.40,1.82,5.20,0,0,0,0,0,3
101,5.25,2,50,18,3,1.50,2,0.401,80.74,146.80,1.02,34.54,94.33,1.87,5.25,0,0,0,0,0,3
