epoch,population,food,bushes,avg_speed,avg_vision,avg_reproduction,max_generation,oldest_age,births,deaths,food_eaten
1,20,15,15,50.00,100.00,500.00,0,0.50,0,0,0
2,20,15,15,50.00,100.00,500.00,0,1.00,0,0,0
3,20,14,15,50.00,100.00,500.00,0,1.50,0,0,1
4,20,10,15,50.00,100.00,500.00,0,2.02,0,0,4
5,20,11,15,50.00,100.00,500.00,0,2.53,0,0,0
6,20,14,15,50.00,100.00,500.00,0,3.05,0,0,1
7,20,18,15,50.00,100.00,500.00,0,3.57,0,0,1
8,20,21,15,50.00,100.00,500.00,0,4.08,0,0,2
9,20,18,15,50.00,100.00,500.00,0,4.60,0,0,3
10,20,15,15,50.00,100.00,500.00,0,5.10,0,0,3
11,20,14,15,50.00,100.00,500.00,0,5.60,0,0,5
12,20,13,15,50.00,100.00,500.00,0,6.13,0,0,2
13,20,16,15,50.00,100.00,500.00,0,6.65,0,0,4
14,20,19,15,50.00,100.00,500.00,0,7.15,0,0,0
