epoch,year,population,food,bushes,water,avg_generation,max_generation,avg_memory,avg_speed,avg_vision,avg_age,avg_hunger,avg_thirst,oldest_age,oldest_bush_age,births,deaths,food_eaten,seeds_found,seeds_planted,seeds_held
1,0.05,150,13,15,3,0.00,0,0.023,80.00,150.00,0.05,97.36,95.93,0.05,0.04,0,0,2,0,0,0
2,0.11,150,11,15,3,0.00,0,0.036,80.00,150.00,0.11,94.76,92.18,0.11,0.09,0,0,2,1,0,1
3,0.16,150,10,15,3,0.00,0,0.046,80.00,150.00,0.16,92.14,88.47,0.16,0.15,0,0,1,1,0,2
4,0.21,150,9,15,3,0.00,0,0.040,80.00,150.00,0.21,89.53,84.71,0.21,0.20,0,0,1,0,0,2
5,0.27,150,10,15,3,0.00,0,0.042,80.00,150.00,0.27,86.86,81.13,0.27,0.25,0,0,0,0,0,2
6,0.32,150,12,15,3,0.00,0,0.045,80.00,150.00,0.32,84.39,77.38,0.32,0.31,0,0,2,1,0,3
7,0.37,150,14,15,3,0.00,0,0.059,80.00,150.00,0.37,81.95,74.30,0.37,0.36,0,0,2,1,0,4
8,0.43,150,18,15,3,0.00,0,0.050,80.00,150.00,0.43,79.43,70.69,0.43,0.41,0,0,2,1,0,5
9,0.48,150,14,15,3,0.00,0,0.051,80.00,150.00,0.48,77.31,67.33,0.48,0.47,0,0,4,2,0,7
10,0.53,150,13,15,3,0.00,0,0.050,80.00,150.00,0.53,74.82,63.67,0.53,0.52,0,0,2,1,0,8
11,0.59,150,13,15,3,0.00,0,0.048,80.00,150.00,0.59,72.23,60.35,0.59,0.57,0,0,1,1,0,9
12,0.64,150,10,15,3,0.00,0,0.053,80.00,150.00,0.64,70.06,56.47,0.64,0.63,0,0,5,5,0,14
13,0.69,150,13,15,3,0.00,0,0.042,80.00,150.00,0.69,67.70,52.57,0.69,0.68,0,0,2,1,0,15
14,0.75,150,13,15,3,0.00,0,0.044,80.00,150.00,0.75,65.56,48.91,0.75,0.73,0,0,5,4,0,19
15,0.80,150,10,15,3,0.00,0,0.050,80.00,150.00,0.80,63.64,44.97,0.80,0.79,0,0,4,0,0,19
16,0.85,150,13,15,3,0.00,0,0.042,80.00,150.00,0.85,60.97,41.40,0.85,0.84,0,0,0,0,0,19
17,0.91,150,15,15,3,0.00,0,0.039,80.00,150.00,0.91,58.30,37.50,0.91,0.89,0,0,0,0,0,19
18,0.96,150,14,15,3,0.00,0,0.037,80.00,150.00,0.96,56.37,33.99,0.96,0.95,0,0,4,4,0,23
19,1.01,150,16,15,3,0.00,0,0.042,80.00,150.00,1.01,53.70,30.66,1.01,1.00,0,0,0,0,0,23
20,1.07,150,18,15,3,0.00,0,0.000,80.00,150.00,1.07,51.03,28.89,1.07,1.05,0,0,0,0,0,23
21,1.12,150,22,16,3,0.00,0,-0.256,80.00,150.00,1.12,48.37,26.05,1.12,1.11,0,0,0,0,1,22
22,1.17,150,24,17,3,0.00,0,-0.309,80.00,150.00,1.17,45.85,22.32,1.17,1.16,0,0,1,0,1,21
23,1.23,150,25,17,3,0.00,0,-0.329,80.00,150.00,1.23,43.42,18.51,1.23,1.21,0,0,1,0,0,21
24,1.28,40,29,18,3,0.00,0,0.129,80.00,150.00,1.28,41.19,64.37,1.28,1.28,0,110,1,0,1,3
25,1.33,38,30,18,3,0.00,0,0.147,80.00,150.00,1.33,38.96,65.17,1.33,1.33,0,2,0,0,0,3
26,1.38,36,30,18,3,0.00,0,0.213,80.00,150.00,1.38,38.83,70.44,1.38,1.38,0,2,2,0,0,3
27,1.43,36,33,18,3,0.00,0,0.130,80.00,150.00,1.43,36.33,67.61,1.43,1.43,0,0,0,0,0,3
28,1.48,34,35,18,3,0.00,0,0.134,80.00,150.00,1.48,34.87,70.07,1.48,1.48,0,2,1,0,0,3
29,1.53,34,36,18,3,0.00,0,0.130,80.00,150.00,1.53,32.34,70.12,1.53,1.53,0,0,1,0,0,3
30,1.59,33,37,18,3,0.00,0,0.153,80.00,150.00,1.59,27.78,74.09,1.59,1.58,0,1,0,0,0,3
31,1.64,32,38,18,3,0.00,0,0.188,80.00,150.00,1.64,25.86,75.83,1.64,1.64,0,1,2,1,0,4
32,1.69,31,38,18,3,0.00,0,0.193,80.00,150.00,1.69,22.37,76.19,1.69,1.69,0,1,0,0,0,3
33,1.74,30,42,18,3,0.00,0,-0.139,80.00,150.00,1.74,17.28,75.80,1.74,1.74,0,1,0,0,0,2
34,1.79,29,45,18,3,0.00,0,-0.268,80.00,150.00,1.79,14.84,76.73,1.79,1.79,0,1,0,0,0,2
35,1.84,29,46,18,3,0.00,0,-0.277,80.00,150.00,1.84,12.26,73.84,1.84,1.84,0,0,0,0,0,2
36,1.90,27,48,18,3,0.00,0,-0.241,80.00,150.00,1.90,8.24,77.73,1.90,1.89,0,2,0,0,0,0
37,1.95,27,49,18,3,0.00,0,-0.237,80.00,150.00,1.95,5.66,76.82,1.95,1.95,0,0,0,0,0,0
38,2.00,27,49,18,3,0.00,0,-0.216,80.00,150.00,2.00,3.07,74.84,2.00,2.00,0,0,0,0,0,0
39,2.05,3,7,3,3,0.00,0,0.243,80.00,150.00,2.05,23.69,69.42,2.05,0.97,0,24,0,0,0,0
40,2.10,3,9,3,3,0.00,0,0.124,80.00,150.00,2.10,21.11,66.67,2.10,1.02,0,0,0,0,0,0
41,2.15,3,9,3,3,0.00,0,-0.061,80.00,150.00,2.15,18.53,63.20,2.15,1.07,0,0,0,0,0,0
42,2.21,3,9,3,3,0.00,0,-0.278,80.00,150.00,2.21,15.94,59.07,2.21,1.12,0,0,0,0,0,0
43,2.26,3,9,3,3,0.00,0,-0.322,80.00,150.00,2.26,13.36,54.93,2.26,1.17,0,0,0,0,0,0
44,2.31,3,9,3,3,0.00,0,-0.331,80.00,150.00,2.31,10.78,50.80,2.31,1.23,0,0,0,0,0,0
45,2.36,2,9,3,3,0.00,0,-0.250,80.00,150.00,2.36,12.67,29.33,2.36,1.28,0,1,0,0,0,0
46,2.41,2,9,3,3,0.00,0,-0.256,80.00,150.00,2.41,10.08,25.20,2.41,1.33,0,0,0,0,0,0
47,2.46,1,9,3,3,0.00,0,0.000,80.00,150.00,2.46,15.67,31.07,2.46,1.38,0,1,0,0,0,0
48,2.52,1,9,3,3,0.00,0,-0.346,80.00,150.00,2.51,13.08,26.93,2.51,1.43,0,0,0,0,0,0
49,2.57,1,9,3,3,0.00,0,-0.469,80.00,150.00,2.57,10.50,22.80,2.57,1.48,0,0,0,0,0,0
