epoch,year,population,food,bushes,avg_speed,avg_vision,avg_reproduction,max_generation,oldest_age,oldest_bush_age,births,deaths,food_eaten,seeds_found,seeds_planted,seeds_held
1,0.05,20,13,15,150.00,150.00,400.00,0,0.05,0.05,0,0,2,2,0,2
2,0.10,20,5,15,150.00,150.00,400.00,0,0.10,0.10,0,0,8,6,0,8
3,0.15,20,0,15,150.00,150.00,400.00,0,0.15,0.15,0,0,5,1,0,9
4,0.21,20,0,15,150.00,150.00,400.00,0,0.20,0.20,0,0,0,0,0,9
5,0.26,20,6,18,150.00,150.00,400.00,0,0.25,0.25,0,0,1,0,3,6
6,0.31,20,6,19,150.00,150.00,400.00,0,0.31,0.31,0,0,5,1,1,6
7,0.36,20,4,19,150.00,150.00,400.00,0,0.36,0.36,0,0,5,2,0,8
8,0.41,20,6,22,150.00,150.00,400.00,0,0.41,0.41,0,0,4,2,3,7
9,0.46,20,3,22,150.00,150.00,400.00,0,0.46,0.46,0,0,4,1,0,8
10,0.51,20,2,22,150.00,150.00,400.00,0,0.51,0.51,0,0,3,2,0,10
11,0.57,20,4,24,150.00,150.00,400.00,0,0.56,0.56,0,0,3,0,2,8
12,0.62,20,7,26,150.00,150.00,400.00,0,0.62,0.62,0,0,3,1,2,7
13,0.67,20,8,28,150.00,150.00,400.00,0,0.67,0.67,0,0,6,2,2,7
14,0.72,20,11,29,150.00,150.00,400.00,0,0.72,0.72,0,0,4,2,1,8
15,0.77,20,11,31,150.00,150.00,400.00,0,0.77,0.77,0,0,6,3,2,9
16,0.82,20,11,35,150.00,150.00,400.00,0,0.82,0.82,0,0,8,4,4,9
17,0.88,20,9,35,150.00,150.00,400.00,0,0.88,0.87,0,0,8,3,0,12
18,0.93,20,9,36,150.00,150.00,400.00,0,0.93,0.93,0,0,6,4,1,15
19,0.98,20,10,37,150.00,150.00,400.00,0,0.98,0.98,0,0,5,2,1,16
20,1.03,19,13,38,150.00,150.00,400.00,0,1.03,1.03,0,1,8,5,1,20
21,1.08,19,14,42,150.00,150.00,400.00,0,1.08,1.08,0,0,7,4,4,20
22,1.13,18,9,42,150.00,150.00,400.00,0,1.13,1.13,0,1,8,4,0,24
23,1.19,18,11,43,150.00,150.00,400.00,0,1.19,1.18,0,0,3,2,1,25
24,1.24,15,11,43,150.00,150.00,400.00,0,1.24,1.24,0,3,10,0,0,23
25,1.29,15,18,45,150.00,150.00,400.00,0,1.29,1.29,0,0,4,2,2,23
26,1.34,13,22,47,150.00,150.00,400.00,0,1.34,1.34,0,2,10,5,2,26
27,1.39,13,18,47,150.00,150.00,400.00,0,1.39,1.39,0,0,7,5,0,31
28,1.44,13,20,47,150.00,150.00,400.00,0,1.44,1.44,0,0,4,2,0,33
29,1.50,13,20,50,150.00,150.00,400.00,0,1.50,1.49,0,0,8,5,3,35
30,1.55,12,28,52,150.00,150.00,400.00,0,1.55,1.55,0,1,10,4,2,35
31,1.60,12,32,55,150.00,150.00,400.00,0,1.60,1.60,0,0,7,2,3,34
32,1.65,12,32,55,150.00,150.00,400.00,0,1.65,1.65,0,0,6,1,0,35
33,1.70,12,31,55,150.00,150.00,400.00,0,1.70,1.70,0,0,9,3,0,38
34,1.75,12,31,57,150.00,150.00,400.00,0,1.75,1.75,0,0,8,2,2,38
35,1.81,12,31,57,150.00,150.00,400.00,0,1.81,1.80,0,0,8,5,0,43
36,1.86,12,38,61,150.00,150.00,400.00,0,1.86,1.86,0,0,11,5,4,44
37,1.91,12,37,63,150.00,150.00,400.00,0,1.91,1.91,0,0,14,7,2,49
38,1.96,12,38,64,150.00,150.00,400.00,0,1.96,1.96,0,0,12,7,1,55
39,2.01,12,40,64,150.00,150.00,400.00,0,2.01,2.01,0,0,9,5,0,60
40,2.06,12,37,69,150.00,150.00,400.00,0,2.06,2.06,0,0,17,8,5,63
41,2.11,12,40,69,150.00,150.00,400.00,0,2.11,2.11,0,0,9,5,0,68
42,2.17,12,45,69,150.00,150.00,400.00,0,2.17,2.16,0,0,7,4,0,72
43,2.22,12,49,71,150.00,150.00,400.00,0,2.22,2.22,0,0,9,5,2,75
44,2.27,12,55,73,150.00,150.00,400.00,0,2.27,2.27,0,0,12,6,2,79
45,2.32,12,48,75,150.00,150.00,400.00,0,2.32,2.32,0,0,15,8,2,85
46,2.37,12,48,76,150.00,150.00,400.00,0,2.37,2.37,0,0,10,5,1,89
47,2.42,12,50,77,150.00,150.00,400.00,0,2.42,2.42,0,0,12,7,1,95
48,2.48,12,47,79,150.00,150.00,400.00,0,2.47,2.47,0,0,16,5,2,98
49,2.53,12,49,81,150.00,150.00,400.00,0,2.53,2.53,0,0,14,6,2,102
50,2.58,13,46,81,150.40,149.46,401.51,1,2.58,2.58,1,0,15,10,0,112
51,2.63,12,53,82,150.43,149.42,401.63,1,2.63,2.63,0,1,12,6,1,101
52,2.68,12,58,82,150.43,149.42,401.63,1,2.68,2.68,0,0,8,4,0,105
53,2.73,12,58,84,150.43,149.42,401.63,1,2.73,2.73,0,0,15,8,2,111
54,2.78,12,57,84,150.43,149.42,401.63,1,2.78,2.78,0,0,15,6,0,117
55,2.84,12,57,87,150.43,149.42,401.63,1,2.83,2.83,0,0,14,8,3,122
56,2.89,12,57,88,150.43,149.42,401.63,1,2.89,2.89,0,0,12,4,1,125
57,2.94,12,62,91,150.43,149.42,401.63,1,2.94,2.94,0,0,14,7,3,129
58,2.99,13,65,94,150.28,148.69,402.63,2,2.99,2.99,1,0,19,11,3,137
59,3.04,13,64,94,150.28,148.69,402.63,2,3.04,3.04,0,0,16,10,0,147
60,3.09,13,63,94,150.28,148.69,402.63,2,3.09,3.09,0,0,13,6,0,153
61,3.15,13,69,98,150.28,148.69,402.63,2,3.14,3.14,0,0,14,5,4,154
62,3.20,13,75,100,150.28,148.69,402.63,2,3.20,3.20,0,0,13,8,2,160
63,3.25,16,76,102,150.70,146.25,402.28,3,3.25,3.25,3,0,22,11,2,169
64,3.30,15,79,104,150.75,146.01,402.43,3,3.30,3.30,0,1,13,6,2,159
65,3.35,15,77,104,150.75,146.01,402.43,3,3.35,3.35,0,0,15,8,0,167
66,3.40,15,75,105,150.75,146.01,402.43,3,3.40,3.40,0,0,21,6,1,172
67,3.46,16,76,107,151.02,147.44,402.94,3,3.45,3.45,1,0,15,9,2,179
68,3.51,17,76,111,150.71,148.12,402.28,3,3.51,3.51,1,0,27,11,4,186
69,3.56,17,73,112,150.71,148.12,402.28,3,3.56,3.56,0,0,20,11,1,196
