epoch,year,population,food,bushes,water,avg_speed,avg_vision,avg_reproduction,avg_hunger,avg_thirst,max_generation,oldest_age,oldest_bush_age,births,deaths,food_eaten,seeds_found,seeds_planted,seeds_held
1,0.05,20,13,15,3,80.00,150.00,200.00,97.70,96.27,0,0.05,0.05,0,0,2,2,0,2
2,0.10,20,13,15,3,80.00,150.00,200.00,95.12,93.16,0,0.10,0.10,0,0,0,0,0,2
3,0.15,20,13,15,3,80.00,150.00,200.00,92.54,89.85,0,0.15,0.15,0,0,0,0,0,2
4,0.21,20,10,15,3,80.00,150.00,200.00,91.26,87.47,0,0.20,0.20,0,0,3,2,0,4
5,0.26,20,12,15,3,80.00,150.00,200.00,90.24,83.69,0,0.26,0.26,0,0,3,2,0,6
6,0.31,20,13,15,3,80.00,150.00,200.00,87.65,82.47,0,0.31,0.31,0,0,0,0,0,6
7,0.36,20,12,15,3,80.00,150.00,200.00,86.89,78.53,0,0.36,0.36,0,0,5,2,0,8
8,0.41,20,13,15,3,80.00,150.00,200.00,84.83,75.97,0,0.41,0.41,0,0,3,2,0,10
9,0.46,20,11,16,3,80.00,150.00,200.00,84.49,73.65,0,0.46,0.46,0,0,4,0,1,9
10,0.52,20,12,17,3,80.00,150.00,200.00,82.56,70.07,0,0.51,0.51,0,0,2,1,1,9
11,0.57,20,13,18,3,80.00,150.00,200.00,81.86,67.89,0,0.57,0.57,0,0,4,3,1,11
12,0.62,20,12,18,3,80.00,150.00,200.00,81.43,69.14,0,0.62,0.62,0,0,4,3,0,14
13,0.67,20,10,19,3,80.00,150.00,200.00,79.32,68.59,0,0.67,0.67,0,0,3,2,1,15
14,0.72,20,10,19,3,80.00,150.00,200.00,78.11,70.07,0,0.72,0.72,0,0,4,2,0,17
15,0.77,20,13,19,3,80.00,150.00,200.00,77.75,67.32,0,0.77,0.77,0,0,2,1,0,18
16,0.83,20,14,21,3,80.00,150.00,200.00,75.74,70.76,0,0.82,0.82,0,0,3,1,2,17
17,0.88,20,12,22,3,80.00,150.00,200.00,76.87,69.70,0,0.88,0.88,0,0,6,2,1,18
18,0.93,20,10,22,3,80.00,150.00,200.00,77.65,67.19,0,0.93,0.93,0,0,4,2,0,20
19,0.98,20,11,23,3,80.00,150.00,200.00,79.54,69.07,0,0.98,0.98,0,0,5,1,1,20
20,1.03,20,8,23,3,80.00,150.00,200.00,78.57,67.23,0,1.03,1.03,0,0,6,5,0,25
21,1.08,20,9,24,3,80.00,150.00,200.00,77.46,64.13,0,1.08,1.08,0,0,3,2,1,26
22,1.14,20,9,25,3,80.00,150.00,200.00,78.38,64.51,0,1.14,1.13,0,0,3,2,1,27
23,1.19,20,14,25,3,80.00,150.00,200.00,76.40,65.68,0,1.19,1.19,0,0,2,1,0,28
24,1.24,20,16,26,3,80.00,150.00,200.00,74.89,72.43,0,1.24,1.24,0,0,3,0,1,27
25,1.29,16,19,27,3,80.00,150.00,200.00,81.31,95.21,0,1.29,1.29,0,4,3,3,1,28
26,1.34,16,18,28,3,80.00,150.00,200.00,80.72,92.17,0,1.34,1.34,0,0,4,1,1,28
27,1.39,16,18,28,3,80.00,150.00,200.00,81.14,91.29,0,1.39,1.39,0,0,3,0,0,28
28,1.45,16,20,29,3,80.00,150.00,200.00,83.51,94.07,0,1.45,1.44,0,0,4,1,1,28
29,1.50,16,21,31,3,80.00,150.00,200.00,87.64,93.90,0,1.50,1.50,0,0,8,6,2,32
30,1.55,16,22,32,3,80.00,150.00,200.00,88.09,95.74,0,1.55,1.55,0,0,5,0,1,31
31,1.60,16,21,32,3,80.00,150.00,200.00,90.38,95.11,0,1.60,1.60,0,0,5,1,0,32
32,1.65,16,22,32,3,80.00,150.00,200.00,90.72,93.09,0,1.65,1.65,0,0,3,3,0,35
33,1.70,16,25,33,3,80.00,150.00,200.00,89.52,92.37,0,1.70,1.70,0,0,3,2,1,36
34,1.76,16,26,34,3,80.00,150.00,200.00,91.60,92.77,0,1.76,1.75,0,0,8,5,1,40
35,1.81,16,25,36,3,80.00,150.00,200.00,96.13,93.42,0,1.81,1.81,0,0,8,7,2,45
36,1.86,16,24,36,3,80.00,150.00,200.00,95.59,97.77,0,1.86,1.86,0,0,6,1,0,46
37,1.91,16,25,37,3,80.00,150.00,200.00,94.92,95.50,0,1.91,1.91,0,0,6,3,1,48
38,1.96,16,27,38,3,80.00,150.00,200.00,93.57,96.33,0,1.96,1.96,0,0,2,1,1,48
39,2.01,16,25,38,3,80.00,150.00,200.00,94.20,95.67,0,2.01,2.01,0,0,10,4,0,52
40,2.07,16,25,38,3,80.00,150.00,200.00,92.88,95.48,0,2.07,2.06,0,0,3,3,0,55
41,2.12,16,23,39,3,80.00,150.00,200.00,93.15,96.67,0,2.12,2.12,0,0,8,4,1,58
42,2.17,16,28,39,3,80.00,150.00,200.00,92.30,94.36,0,2.17,2.17,0,0,3,2,0,60
43,2.22,16,28,41,3,80.00,150.00,200.00,91.99,93.97,0,2.22,2.22,0,0,5,2,2,60
44,2.27,16,32,42,3,80.00,150.00,200.00,93.47,94.04,0,2.27,2.27,0,0,7,5,1,64
45,2.32,16,34,43,3,80.00,150.00,200.00,95.15,95.55,0,2.32,2.32,0,0,5,2,1,65
46,2.38,16,31,44,3,80.00,150.00,200.00,95.91,94.92,0,2.37,2.37,0,0,7,4,1,68
47,2.43,16,31,48,3,80.00,150.00,200.00,96.56,93.58,0,2.43,2.43,0,0,7,5,4,69
48,2.48,16,32,50,3,80.00,150.00,200.00,96.99,97.24,0,2.48,2.48,0,0,9,5,2,72
49,2.53,16,36,51,3,80.00,150.00,200.00,96.18,97.27,0,2.53,2.53,0,0,7,2,1,73
50,2.58,16,37,52,3,80.00,150.00,200.00,95.98,96.03,0,2.58,2.58,0,0,8,3,1,75
51,2.63,16,32,52,3,80.00,150.00,200.00,97.19,96.95,0,2.63,2.63,0,0,12,6,0,81
52,2.69,16,37,53,3,80.00,150.00,200.00,95.44,95.52,0,2.68,2.68,0,0,3,3,1,83
53,2.74,16,37,53,3,80.00,150.00,200.00,95.54,96.63,0,2.74,2.74,0,0,8,4,0,87
54,2.79,16,39,55,3,80.00,150.00,200.00,94.97,95.99,0,2.79,2.79,0,0,7,5,2,90
55,2.84,16,46,58,3,80.00,150.00,200.00,94.60,95.06,0,2.84,2.84,0,0,7,3,3,90
56,2.89,16,44,58,3,80.00,150.00,200.00,97.35,94.85,0,2.89,2.89,0,0,9,5,0,95
57,2.94,16,45,59,3,80.00,150.00,200.00,96.78,98.02,0,2.94,2.94,0,0,9,6,1,100
58,3.00,16,45,61,3,80.00,150.00,200.00,97.28,96.19,0,2.99,2.99,0,0,10,3,2,101
59,3.05,16,44,63,3,80.00,150.00,200.00,97.55,97.07,0,3.05,3.05,0,0,10,6,2,105
60,3.10,16,42,63,3,80.00,150.00,200.00,97.44,97.21,0,3.10,3.10,0,0,10,5,0,110
61,3.15,16,49,64,3,80.00,150.00,200.00,97.27,96.32,0,3.15,3.15,0,0,7,4,1,113
62,3.20,16,47,65,3,80.00,150.00,200.00,96.88,96.55,0,3.20,3.20,0,0,9,4,1,116
63,3.25,16,59,65,3,80.00,150.00,200.00,94.88,96.94,0,3.25,3.25,0,0,2,2,0,118
64,3.31,16,52,66,3,80.00,150.00,200.00,97.78,96.71,0,3.30,3.30,0,0,17,6,1,123
65,3.36,16,54,67,3,80.00,150.00,200.00,98.00,97.93,0,3.36,3.36,0,0,10,6,1,128
66,3.41,16,58,67,3,80.00,150.00,200.00,96.86,97.75,0,3.41,3.41,0,0,6,3,0,131
67,3.46,16,53,68,3,80.00,150.00,200.00,97.55,97.04,0,3.46,3.46,0,0,13,5,1,135
68,3.51,16,56,70,3,80.00,150.00,200.00,97.15,97.17,0,3.51,3.51,0,0,9,3,2,136
69,3.56,16,57,72,3,80.00,150.00,200.00,96.51,97.04,0,3.56,3.56,0,0,9,5,2,139
70,3.62,16,62,73,3,80.00,150.00,200.00,97.67,97.56,0,3.61,3.61,0,0,13,9,1,147
71,3.67,16,64,75,3,80.00,150.00,200.00,98.37,96.97,0,3.67,3.67,0,0,12,7,2,152
72,3.72,16,61,77,3,80.00,150.00,200.00,98.13,97.45,0,3.72,3.72,0,0,12,3,2,153
73,3.77,16,62,78,3,80.00,150.00,200.00,97.05,96.72,0,3.77,3.77,0,0,6,2,1,154
74,3.82,16,56,79,3,80.00,150.00,200.00,98.21,96.73,0,3.82,3.82,0,0,13,9,1,162
75,3.87,16,63,79,3,80.00,150.00,200.00,97.54,97.09,0,3.87,3.87,0,0,8,3,0,165
76,3.93,16,61,81,3,80.00,150.00,200.00,98.31,97.12,0,3.92,3.92,0,0,16,9,2,172
77,3.98,16,62,81,3,80.00,150.00,200.00,97.84,97.02,0,3.98,3.98,0,0,11,6,0,178
78,4.03,16,59,81,3,80.00,150.00,200.00,97.93,97.37,0,4.03,4.03,0,0,12,7,0,185
79,4.08,16,60,81,3,80.00,150.00,200.00,97.90,95.76,0,4.08,4.08,0,0,11,8,0,193
80,4.13,16,58,83,3,80.00,150.00,200.00,97.90,97.27,0,4.13,4.13,0,0,14,11,2,202
81,4.18,16,62,83,3,80.00,150.00,200.00,97.57,97.22,0,4.18,4.18,0,0,10,7,0,209
82,4.24,16,63,83,3,80.00,150.00,200.00,97.17,97.49,0,4.23,4.23,0,0,12,7,0,216
83,4.29,16,55,84,3,80.00,150.00,200.00,97.83,97.42,0,4.28,4.28,0,0,13,8,1,223
84,4.34,16,57,84,3,80.00,150.00,200.00,98.27,97.53,0,4.34,4.34,0,0,14,7,0,230
85,4.39,16,63,86,3,80.00,150.00,200.00,97.78,97.07,0,4.39,4.39,0,0,10,3,2,231
86,4.44,16,69,89,3,80.00,150.00,200.00,97.73,97.18,0,4.44,4.44,0,0,12,7,3,235
87,4.49,16,67,90,3,80.00,150.00,200.00,98.54,98.62,0,4.49,4.49,0,0,15,7,1,241
88,4.54,16,69,91,3,80.00,150.00,200.00,97.93,98.06,0,4.54,4.54,0,0,12,8,1,248
89,4.59,16,70,94,3,80.00,150.00,200.00,97.55,97.47,0,4.59,4.59,0,0,13,4,3,249
90,4.65,16,78,95,3,80.00,150.00,200.00,97.45,97.57,0,4.64,4.64,0,0,10,7,1,255
91,4.70,16,77,96,3,80.00,150.00,200.00,98.17,97.86,0,4.70,4.70,0,0,13,6,1,260
92,4.75,16,79,97,3,80.00,150.00,200.00,98.31,98.27,0,4.75,4.75,0,0,13,8,1,267
93,4.80,16,85,101,3,80.00,150.00,200.00,98.12,98.23,0,4.80,4.80,0,0,14,4,4,267
94,4.85,16,81,101,3,80.00,150.00,200.00,97.54,97.94,0,4.85,4.85,0,0,12,6,0,273
95,4.90,16,87,101,3,80.00,150.00,200.00,97.35,95.97,0,4.90,4.90,0,0,10,7,0,280
96,4.96,16,88,103,3,80.00,150.00,200.00,98.39,98.27,0,4.95,4.95,0,0,17,4,2,282
97,5.01,16,94,103,3,80.00,150.00,200.00,97.82,97.72,0,5.01,5.01,0,0,13,7,0,289
98,5.06,16,92,103,3,80.00,150.00,200.00,97.97,98.17,0,5.06,5.06,0,0,14,9,0,298
99,5.11,16,91,103,3,80.00,150.00,200.00,98.24,98.27,0,5.11,5.11,0,0,14,5,0,303
100,5.16,16,96,103,3,80.00,150.00,200.00,97.88,97.34,0,5.16,5.16,0,0,12,8,0,311
101,5.21,16,99,104,3,80.00,150.00,200.00,97.61,96.37,0,5.21,5.21,0,0,11,7,1,317
102,5.27,16,105,104,3,80.00,150.00,200.00,97.86,98.07,0,5.26,5.26,0,0,12,9,0,326
103,5.32,16,108,105,3,80.00,150.00,200.00,97.79,97.44,0,5.32,5.32,0,0,11,7,1,332
104,5.37,16,106,105,3,80.00,150.00,200.00,97.74,98.04,0,5.37,5.37,0,0,16,8,0,340
105,5.42,16,105,105,3,80.00,150.00,200.00,97.55,96.54,0,5.42,5.42,0,0,10,8,0,348
106,5.47,16,113,109,3,80.00,150.00,200.00,97.79,97.40,0,5.47,5.47,0,0,13,6,4,350
107,5.52,16,114,110,3,80.00,150.00,200.00,98.07,98.38,0,5.52,5.52,0,0,13,6,1,355
108,5.58,16,121,110,3,80.00,150.00,200.00,97.14,98.17,0,5.57,5.57,0,0,9,4,0,359
109,5.63,16,121,110,3,80.00,150.00,200.00,99.04,97.44,0,5.63,5.63,0,0,19,11,0,370
110,5.68,16,120,111,3,80.00,150.00,200.00,98.42,98.38,0,5.68,5.68,0,0,16,7,1,376
111,5.73,16,121,114,3,80.00,150.00,200.00,97.88,97.45,0,5.73,5.73,0,0,13,6,3,379
112,5.78,16,120,115,3,80.00,150.00,200.00,98.03,97.33,0,5.78,5.78,0,0,14,4,1,382
113,5.83,16,123,117,3,80.00,150.00,200.00,98.45,98.92,0,5.83,5.83,0,0,18,11,2,391
114,5.89,16,126,118,3,80.00,150.00,200.00,97.57,98.23,0,5.88,5.88,0,0,12,6,1,396
115,5.94,16,124,118,3,80.00,150.00,200.00,98.44,98.31,0,5.94,5.94,0,0,19,11,0,407
116,5.99,16,122,119,3,80.00,150.00,200.00,97.91,98.41,0,5.99,5.99,0,0,14,7,1,413
117,6.04,16,129,120,3,80.00,150.00,200.00,97.51,98.23,0,6.04,6.04,0,0,11,4,1,416
118,6.09,16,122,120,3,80.00,150.00,200.00,98.35,98.27,0,6.09,6.09,0,0,22,12,0,428
119,6.14,16,122,122,3,80.00,150.00,200.00,98.59,98.19,0,6.14,6.14,0,0,18,9,2,435
120,6.20,16,119,123,3,80.00,150.00,200.00,98.89,98.33,0,6.19,6.19,0,0,17,12,1,446
121,6.25,16,123,126,3,80.00,150.00,200.00,98.38,97.75,0,6.25,6.25,0,0,15,7,3,450
122,6.30,16,122,128,3,80.00,150.00,200.00,98.58,98.50,0,6.30,6.30,0,0,18,11,2,459
123,6.35,16,125,128,3,80.00,150.00,200.00,98.41,98.59,0,6.35,6.35,0,0,15,6,0,465
124,6.40,16,130,128,3,80.00,150.00,200.00,98.52,98.15,0,6.40,6.40,0,0,16,7,0,472
125,6.45,16,132,129,3,80.00,150.00,200.00,98.62,98.89,0,6.45,6.45,0,0,20,6,1,477
126,6.51,16,123,129,3,80.00,150.00,200.00,99.04,98.32,0,6.50,6.50,0,0,23,9,0,486
127,6.56,16,118,131,3,80.00,150.00,200.00,98.48,98.09,0,6.56,6.56,0,0,13,6,2,490
128,6.61,16,120,132,3,80.00,150.00,200.00,98.61,98.06,0,6.61,6.61,0,0,16,8,1,497
129,6.66,16,133,136,3,80.00,150.00,200.00,99.08,99.01,0,6.66,6.66,0,0,21,13,4,506
130,6.71,16,131,136,3,80.00,150.00,200.00,98.55,98.89,0,6.71,6.71,0,0,18,8,0,514
131,6.76,16,132,137,3,80.00,150.00,200.00,98.50,98.19,0,6.76,6.76,0,0,16,6,1,519
132,6.82,16,134,140,3,80.00,150.00,200.00,98.13,98.94,0,6.81,6.81,0,0,15,8,3,524
133,6.87,16,132,140,3,80.00,150.00,200.00,96.09,97.79,0,6.87,6.87,0,0,22,10,0,534
134,6.92,16,133,141,3,80.00,150.00,200.00,98.63,97.49,0,6.92,6.92,0,0,19,10,1,543
135,6.97,16,134,141,3,80.00,150.00,200.00,98.95,98.38,0,6.97,6.97,0,0,23,13,0,556
136,7.02,16,142,141,3,80.00,150.00,200.00,98.43,98.76,0,7.02,7.02,0,0,17,7,0,563
137,7.07,16,138,142,3,80.00,150.00,200.00,98.43,98.72,0,7.07,7.07,0,0,19,8,1,570
138,7.13,16,133,142,3,80.00,150.00,200.00,98.71,98.60,0,7.12,7.12,0,0,20,11,0,581
139,7.18,16,133,143,3,80.00,150.00,200.00,98.71,98.46,0,7.18,7.18,0,0,18,7,1,587
140,7.23,16,142,143,3,80.00,150.00,200.00,98.29,98.12,0,7.23,7.23,0,0,16,8,0,595
141,7.28,16,142,143,3,80.00,150.00,200.00,98.37,98.36,0,7.28,7.28,0,0,18,9,0,604
142,7.33,16,139,144,3,80.00,150.00,200.00,99.14,98.14,0,7.33,7.33,0,0,19,10,1,613
143,7.38,16,149,147,3,80.00,150.00,200.00,98.83,98.37,0,7.38,7.38,0,0,18,8,3,618
144,7.44,16,152,147,3,80.00,150.00,200.00,98.43,98.31,0,7.43,7.43,0,0,19,13,0,631
145,7.49,16,148,149,3,80.00,150.00,200.00,98.69,98.50,0,7.49,7.49,0,0,18,10,2,639
146,7.54,16,152,151,3,80.00,150.00,200.00,98.42,98.42,0,7.54,7.54,0,0,17,13,2,650
147,7.59,16,159,151,3,80.00,150.00,200.00,98.72,98.53,0,7.59,7.59,0,0,19,12,0,662
148,7.64,16,160,151,3,80.00,150.00,200.00,98.78,98.54,0,7.64,7.64,0,0,21,7,0,669
149,7.69,16,155,151,3,80.00,150.00,200.00,98.74,98.33,0,7.69,7.69,0,0,17,9,0,678
150,7.75,16,152,153,3,80.00,150.00,200.00,98.33,97.86,0,7.74,7.74,0,0,24,13,2,689
151,7.80,16,149,156,3,80.00,150.00,200.00,98.39,98.55,0,7.80,7.80,0,0,19,5,3,691
152,7.85,16,150,157,3,80.00,150.00,200.00,99.01,98.46,0,7.85,7.85,0,0,23,12,1,702
153,7.90,16,155,157,3,80.00,150.00,200.00,98.57,98.20,0,7.90,7.90,0,0,14,8,0,710
154,7.95,16,154,158,3,80.00,150.00,200.00,98.70,98.36,0,7.95,7.95,0,0,20,7,1,716
