epoch,population,food,bushes,avg_speed,avg_vision,avg_reproduction,max_generation,oldest_age,births,deaths,food_eaten
1,20,15,15,50.00,100.00,500.00,0,0.50,0,0,0
2,20,13,15,50.00,100.00,500.00,0,1.00,0,0,2
3,20,8,15,50.00,100.00,500.00,0,1.50,0,0,5
4,20,7,15,50.00,100.00,500.00,0,2.02,0,0,1
5,20,11,15,50.00,100.00,500.00,0,2.52,0,0,1
6,20,9,15,50.00,100.00,500.00,0,3.03,0,0,4
7,20,12,15,50.00,100.00,500.00,0,3.53,0,0,1
8,20,12,15,50.00,100.00,500.00,0,4.03,0,0,2
9,20,9,15,50.00,100.00,500.00,0,4.53,0,0,5
10,20,9,15,50.00,100.00,500.00,0,5.03,0,0,2
11,20,8,15,50.00,100.00,500.00,0,5.53,0,0,3
12,20,9,15,50.00,100.00,500.00,0,6.05,0,0,4
13,20,11,15,50.00,100.00,500.00,0,6.57,0,0,1
14,20,11,15,50.00,100.00,500.00,0,7.07,0,0,1
15,20,12,15,50.00,100.00,500.00,0,7.58,0,0,1
16,20,12,15,50.00,100.00,500.00,0,8.10,0,0,1
17,20,14,15,50.00,100.00,500.00,0,8.62,0,0,0
18,20,17,15,50.00,100.00,500.00,0,9.13,0,0,2
19,20,15,15,50.00,100.00,500.00,0,9.65,0,0,3
20,16,16,15,50.00,100.00,500.00,0,10.17,0,4,2
21,16,14,15,50.00,100.00,500.00,0,10.68,0,0,4
22,12,15,15,50.00,100.00,500.00,0,11.18,0,4,0
23,12,14,15,50.00,100.00,500.00,0,11.68,0,0,2
24,9,16,15,50.00,100.00,500.00,0,12.20,0,3,0
25,9,18,15,50.00,100.00,500.00,0,12.72,0,0,1
26,6,19,15,50.00,100.00,500.00,0,13.23,0,3,4
27,6,17,15,50.00,100.00,500.00,0,13.75,0,0,3
28,6,17,15,50.00,100.00,500.00,0,14.27,0,0,0
29,6,17,15,50.00,100.00,500.00,0,14.78,0,0,1
30,4,19,15,50.00,100.00,500.00,0,15.30,0,2,1
31,4,20,15,50.00,100.00,500.00,0,15.82,0,0,2
32,3,21,15,50.00,100.00,500.00,0,16.33,0,1,0
33,3,22,15,50.00,100.00,500.00,0,16.85,0,0,2
34,3,22,15,50.00,100.00,500.00,0,17.37,0,0,1
35,3,22,15,50.00,100.00,500.00,0,17.88,0,0,1
36,3,24,15,50.00,100.00,500.00,0,18.40,0,0,1
37,3,24,15,50.00,100.00,500.00,0,18.92,0,0,1
38,2,25,15,50.00,100.00,500.00,0,19.43,0,1,1
39,2,27,15,50.00,100.00,500.00,0,19.95,0,0,0
40,2,27,15,50.00,100.00,500.00,0,20.47,0,0,2
41,2,26,15,50.00,100.00,500.00,0,20.98,0,0,2
42,2,26,15,50.00,100.00,500.00,0,21.50,0,0,0
43,2,28,15,50.00,100.00,500.00,0,22.02,0,0,1
44,2,30,15,50.00,100.00,500.00,0,22.53,0,0,1
45,2,28,15,50.00,100.00,500.00,0,23.05,0,0,2
46,2,29,15,50.00,100.00,500.00,0,23.57,0,0,0
47,2,28,15,50.00,100.00,500.00,0,24.08,0,0,2
48,2,29,15,50.00,100.00,500.00,0,24.60,0,0,0
49,2,31,15,50.00,100.00,500.00,0,25.12,0,0,0
50,2,30,15,50.00,100.00,500.00,0,25.63,0,0,2
51,1,31,15,50.00,100.00,500.00,0,26.15,0,1,0
52,1,31,15,50.00,100.00,500.00,0,26.67,0,0,0
53,1,30,15,50.00,100.00,500.00,0,27.18,0,0,1
54,1,32,15,50.00,100.00,500.00,0,27.70,0,0,1
55,1,32,15,50.00,100.00,500.00,0,28.22,0,0,0
56,1,32,15,50.00,100.00,500.00,0,28.73,0,0,1
57,1,32,15,50.00,100.00,500.00,0,29.25,0,0,0
58,1,33,15,50.00,100.00,500.00,0,29.77,0,0,0
59,1,33,15,50.00,100.00,500.00,0,30.28,0,0,1
60,1,35,15,50.00,100.00,500.00,0,30.80,0,0,0
61,1,34,15,50.00,100.00,500.00,0,31.32,0,0,1
62,1,35,15,50.00,100.00,500.00,0,31.82,0,0,0
