epoch,year,population,food,bushes,avg_speed,avg_vision,avg_reproduction,max_generation,oldest_age,oldest_bush_age,births,deaths,food_eaten,seeds_found,seeds_planted,seeds_held
1,0.05,20,10,10,150.00,150.00,400.00,0,0.05,0.05,0,0,0,0,0,0
2,0.10,20,6,10,150.00,150.00,400.00,0,0.10,0.10,0,0,4,2,0,2
3,0.15,20,3,10,150.00,150.00,400.00,0,0.15,0.15,0,0,3,3,0,5
4,0.21,20,1,11,150.00,150.00,400.00,0,0.20,0.20,0,0,3,2,1,6
5,0.26,20,2,11,150.00,150.00,400.00,0,0.26,0.26,0,0,1,1,0,7
6,0.31,20,4,13,150.00,150.00,400.00,0,0.31,0.31,0,0,2,1,2,6
7,0.36,20,4,13,150.00,150.00,400.00,0,0.36,0.36,0,0,4,3,0,9
8,0.41,20,5,14,150.00,150.00,400.00,0,0.41,0.41,0,0,2,1,1,9
9,0.46,20,6,15,150.00,150.00,400.00,0,0.46,0.46,0,0,3,1,1,9
10,0.52,20,2,15,150.00,150.00,400.00,0,0.51,0.51,0,0,4,2,0,11
11,0.57,20,2,15,150.00,150.00,400.00,0,0.57,0.57,0,0,3,1,0,12
12,0.62,20,4,17,150.00,150.00,400.00,0,0.62,0.62,0,0,4,0,2,10
13,0.67,20,4,17,150.00,150.00,400.00,0,0.67,0.67,0,0,3,2,0,12
14,0.72,20,4,17,150.00,150.00,400.00,0,0.72,0.72,0,0,1,0,0,12
15,0.77,20,6,17,150.00,150.00,400.00,0,0.77,0.77,0,0,2,2,0,14
16,0.83,20,6,18,150.00,150.00,400.00,0,0.82,0.82,0,0,5,3,1,16
17,0.88,20,3,18,150.00,150.00,400.00,0,0.88,0.88,0,0,4,2,0,18
18,0.93,21,6,20,149.61,150.07,400.52,1,0.93,0.93,1,0,3,1,2,17
19,0.98,21,8,20,149.61,150.07,400.52,1,0.98,0.98,0,0,3,1,0,18
20,1.03,18,8,21,149.55,150.08,400.61,1,1.03,1.03,0,3,6,1,1,14
21,1.08,19,7,22,149.82,151.05,400.69,1,1.08,1.08,1,0,2,1,1,14
22,1.13,19,9,23,149.82,151.05,400.69,1,1.13,1.13,0,0,4,1,1,14
23,1.18,19,5,25,149.82,151.05,400.69,1,1.18,1.18,0,0,9,7,2,19
24,1.23,19,3,25,149.82,151.05,400.69,1,1.23,1.23,0,0,5,4,0,23
25,1.28,19,4,26,149.82,151.05,400.69,1,1.28,1.28,0,0,4,2,1,24
26,1.33,19,9,30,149.82,151.05,400.69,1,1.33,1.33,0,0,4,2,4,22
27,1.38,20,5,30,149.56,150.99,399.71,1,1.38,1.38,1,0,7,3,0,25
28,1.44,20,8,30,149.56,150.99,399.71,1,1.44,1.43,0,0,3,0,0,25
29,1.49,20,11,31,149.56,150.99,399.71,1,1.49,1.49,0,0,3,1,1,25
30,1.54,17,7,33,149.49,151.16,399.66,1,1.54,1.54,0,3,10,5,2,26
31,1.59,17,3,33,149.49,151.16,399.66,1,1.59,1.59,0,0,5,2,0,28
32,1.64,17,8,35,149.49,151.16,399.66,1,1.64,1.64,0,0,3,1,2,27
33,1.69,18,10,37,149.98,151.36,400.87,2,1.69,1.69,1,0,8,2,2,27
