epoch,year,population,food,bushes,water,avg_generation,max_generation,avg_memory,avg_speed,avg_vision,avg_age,avg_hunger,avg_thirst,oldest_age,oldest_bush_age,births,deaths,food_eaten,seeds_found,seeds_planted,seeds_held
1,0.05,5,15,15,3,0.00,0,0.000,80.00,150.00,0.05,97.50,96.00,0.05,0.05,0,0,0,0,0,0
2,0.10,5,15,15,3,0.00,0,0.000,80.00,150.00,0.10,95.00,92.00,0.10,0.10,0,0,0,0,0,0
3,0.15,5,15,15,3,0.00,0,-0.001,80.00,150.00,0.15,92.42,87.87,0.15,0.15,0,0,0,0,0,0
4,0.20,5,15,15,3,0.00,0,-0.000,80.00,150.00,0.20,89.83,83.73,0.20,0.20,0,0,0,0,0,0
5,0.26,5,16,15,3,0.00,0,0.002,80.00,150.00,0.25,89.58,79.60,0.25,0.25,0,0,1,1,0,1
6,0.31,5,19,15,3,0.00,0,0.000,80.00,150.00,0.31,87.00,75.47,0.31,0.31,0,0,0,0,0,1
7,0.36,5,23,15,3,0.00,0,0.000,80.00,150.00,0.36,84.42,71.33,0.36,0.36,0,0,0,0,0,1
8,0.41,5,28,15,3,0.00,0,0.000,80.00,150.00,0.41,81.83,67.20,0.41,0.41,0,0,0,0,0,1
9,0.46,5,29,15,3,0.00,0,-0.001,80.00,150.00,0.46,79.25,63.07,0.46,0.46,0,0,0,0,0,1
10,0.51,5,31,15,3,0.00,0,-0.000,80.00,150.00,0.51,76.67,58.93,0.51,0.51,0,0,0,0,0,1
11,0.57,5,33,15,3,0.00,0,-0.000,80.00,150.00,0.56,74.08,54.80,0.56,0.56,0,0,0,0,0,1
12,0.62,5,35,15,3,0.00,0,-0.000,80.00,150.00,0.62,71.50,50.67,0.62,0.62,0,0,0,0,0,1
13,0.67,5,38,15,3,0.00,0,-0.000,80.00,150.00,0.67,68.92,46.53,0.67,0.67,0,0,0,0,0,1
14,0.72,5,38,15,3,0.00,0,-0.001,80.00,150.00,0.72,66.33,42.40,0.72,0.72,0,0,0,0,0,1
15,0.77,5,43,15,3,0.00,0,-0.000,80.00,150.00,0.77,63.75,38.27,0.77,0.77,0,0,0,0,0,1
16,0.82,5,44,15,3,0.00,0,-0.000,80.00,150.00,0.82,61.17,34.13,0.82,0.82,0,0,0,0,0,1
17,0.88,5,44,15,3,0.00,0,-0.000,80.00,150.00,0.88,58.58,30.00,0.88,0.87,0,0,0,0,0,1
18,0.93,5,45,15,3,0.00,0,-0.000,80.00,150.00,0.93,56.00,25.87,0.93,0.93,0,0,0,0,0,1
19,0.98,5,45,15,3,0.00,0,-0.000,80.00,150.00,0.98,53.42,21.73,0.98,0.98,0,0,0,0,0,1
20,1.03,5,45,15,3,0.00,0,-0.000,80.00,150.00,1.03,50.83,17.60,1.03,1.03,0,0,0,0,0,1
21,1.08,5,44,15,3,0.00,0,-0.211,80.00,150.00,1.08,59.05,13.47,1.08,1.08,0,0,2,0,0,1
22,1.13,5,44,15,3,0.00,0,-0.441,80.00,150.00,1.13,56.47,9.33,1.13,1.13,0,0,0,0,0,1
23,1.19,5,44,15,3,0.00,0,-0.488,80.00,150.00,1.19,53.88,5.20,1.19,1.18,0,0,0,0,0,1
24,1.24,5,44,15,3,0.00,0,-0.499,80.00,150.00,1.24,51.30,1.07,1.24,1.24,0,0,0,0,0,1
25,1.29,0,44,15,3,0.00,0,0.000,0.00,0.00,0.00,0.00,0.00,0.00,1.29,0,5,0,0,0,0
26,1.34,0,44,15,3,0.00,0,0.000,0.00,0.00,0.00,0.00,0.00,0.00,1.34,0,0,0,0,0,0
27,1.39,0,45,15,3,0.00,0,0.000,0.00,0.00,0.00,0.00,0.00,0.00,1.39,0,0,0,0,0,0
28,1.44,0,45,15,3,0.00,0,0.000,0.00,0.00,0.00,0.00,0.00,0.00,1.44,0,0,0,0,0,0
